cuadro;description;nivel;departamento;provincia;municipio_tioc;grupo_de_edad;total;afroboliviano;araona;aymara;ayoreo;baure;canichana;cavinenho;cayubaba;chacobo;charka_qhara_qhara;chichas;chiquitano;chuwi;ese_ejja;guarani;guarasu_we;gwarayu;itonama;jach_a_carangas;jalq_a;joaquiniano;kallawaya;killacas;leco;lipez;lupaca;machineri;maropa;mojenho;mojenho_ignaciano;mojenho_trinitario;more;moseten;movima;pacahuara;pakajaqi;paunaca;puquina;quechua;qullas;raqaypampa;siriono;sora;tacana;tapiete;toromona;tsimane_;uru-chipaya;weenhayek;yaminawa;yampara;yuqui;yurakare;quechua_-_aymara;mas_de_una_descripcion;otras_declaraciones;otros_pueblos_indigenas_extranjeros
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2024;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;País;;;;Bolivia;4,302,484;25,168;147;1,595,045;1,890;1,618;865;5,344;1,064;1,530;20,323;29,561;98,983;495;1,927;103,712;149;20,154;5,612;8,299;6,241;1,992;15,384;3,812;19,110;2,922;1,031;72;2,797;6,109;9,076;19,354;212;4,099;10,654;70;2,715;7;1,944;1,646,811;2,449;2,330;722;453;19,847;104;14;22,343;3,822;5,588;228;4,383;478;6,480;5,526;5,492;544,984;943
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2025;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;País;;;;0 a 5;260,566;1,591;4;82,640;216;103;65;645;68;215;1,687;2,018;9,821;68;334;8,446;16;1,801;460;599;433;196;1,738;219;1,711;235;55;15;243;344;1,002;1,980;9;483;885;4;152;0;228;88,959;181;250;95;22;2,171;11;2;4,098;368;627;28;285;80;858;268;322;41,144;68
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2026;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;País;;;;6 a 11;385,784;2,465;16;127,763;273;179;125;796;116;259;2,365;3,068;12,038;99;305;12,543;19;2,524;728;854;677;258;1,836;371;2,141;314;98;8;395;463;1,249;2,648;21;549;1,281;7;250;0;250;139,492;257;342;114;21;2,806;18;1;4,123;425;713;38;371;64;1,059;359;417;55,721;92
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2027;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;País;;;;12 a 17;413,374;3,000;9;137,008;203;171;102;714;114;231;2,322;2,845;11,410;82;264;11,516;20;2,604;681;753;627;248;1,736;350;2,133;324;112;7;379;593;1,271;2,525;33;597;1,258;8;243;1;204;160,745;238;353;108;35;2,625;12;1;3,414;432;612;27;461;62;998;381;445;55,625;102
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2028;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;País;;;;18 a 28;823,970;5,290;20;295,483;395;284;143;1,219;192;316;3,533;4,562;19,365;56;379;21,414;28;4,199;981;1,351;1,019;358;3,199;592;4,242;485;153;12;553;1,201;1,678;3,569;45;931;1,835;12;437;3;448;326,680;367;431;128;59;4,102;22;3;4,587;771;1,269;43;777;110;1,252;810;1,031;101,330;216
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2029;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;País;;;;29 a 39;777,273;4,609;41;300,495;283;310;149;778;214;215;2,763;5,002;17,123;45;280;17,803;22;3,504;939;1,399;795;305;2,252;574;3,531;481;128;11;438;1,240;1,403;3,261;34;614;1,922;14;434;1;322;297,762;318;327;117;74;3,255;14;0;2,498;637;872;36;605;78;934;938;992;93,911;171
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2030;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;País;;;;40 a 59;1,046,475;5,664;34;418,868;336;367;177;852;244;204;4,323;7,226;20,390;88;253;21,689;29;3,832;1,234;2,047;1,528;424;2,860;923;3,850;658;272;15;537;1,621;1,611;3,753;44;652;2,320;20;732;2;347;395,480;632;410;129;130;3,449;17;6;2,484;796;968;31;1,057;65;980;1,639;1,427;126,560;189
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2031;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;País;;;;60 o más;595,042;2,549;23;232,788;184;204;104;340;116;90;3,330;4,840;8,836;57;112;10,301;15;1,690;589;1,296;1,162;203;1,763;783;1,502;425;213;4;252;647;862;1,618;26;273;1,153;5;467;0;145;237,693;456;217;31;112;1,439;10;1;1,139;393;527;25;827;19;399;1,131;858;70,693;105
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2032;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;Departamento; Chuquisaca;;;Chuquisaca;256,185;694;0;2,554;4;3;2;5;1;3;2,848;297;266;0;21;11,148;0;78;4;12;3,140;2;3;78;18;7;0;0;1;45;20;29;0;4;8;1;3;0;2;208,928;0;0;0;1;19;2;1;19;8;9;0;3,830;0;9;46;248;21,757;7
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSO 2033;NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO AGRUPADAS DE ACUERDO A LISTA REFERENCIAL DE LA COMISIÓN TÉCNICA INTERINSTITUCIONAL DE AUTOIDENTIFICACIÓN E IDIOMAS(1) ;Departamento; Chuquisaca;;;0 a 5;15,776;56;0;35;0;0;0;0;0;1;252;3;0;0;2;971;0;3;0;0;210;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12,386;0;0;0;0;1;0;0;0;0;0;0;267;0;0;3;5;1,575;1
