cuadro;descripcion;nivel;departamento;provincia;municipio_tioc;area;total;afroboliviano;_akarapis;_andamarca;_araona;_aroma;_ayllu_jila;_ayllu_jukumani;_ayllu_kacachaca;_ayllu_kharacha;_ayllu_porco;_ayllu_yura;_aymara;_ayoreo;_baure;_belen;_besiro;_calcha;canichana;_cavinenho;_cayubaba;_chacobo;challapata;_chane;_chaqui;charagua;charazani;_charka;_charka_qhara_qhara;_chayanta;_chichas;chiquitano;chiriguano;_choquecota;_chullpas;_chuwi;_condo;_coroma;_corque;_curahuara_de_carangas;_ese_ejja;_guarani;_guarasuwe;_gwarayu;_huachacalla;_huari;_huaylla_marka;_itonama;_jacha_carangas;_jalqa;_jatun_killacas;_javeriano;_jesus_de_machaca;_joaquiniano;_kallawaya;_killacas;_lagunillas;_larecaja;_layme;_leco;_lipez;_loretano;_lupaca;_machineri;_maropa;_mataco;_mojenho;_mojenho_ignaciano;_mojenho_trinitario;_mojocoya;_mollo;_monkox;_more;_moro_moro;_moseten;_movima;_murato;_orinoca;_pacahuara;_pakajaqi;_pampa_aullagas;_pati_pati;_paunaca;_pojos;_pojpo;_poroma;_pucara;_puquina;_qhara_qhara;_quechua;_quila_quila;_qullas;_raqaypampa;_reyesano;_sabaya;_salinas;_san_juan;_siriono;_sora;_suyu_sura;_tacana;_tapiete;_tinquipaya;_tobas;_toromona;_totora_marka;_trinitario;_tsimane;_turco;_uchupiamonas;_ucumasi;_urmiri_de_quillacas;_uru;_uru-chipaya;_uru-ito;_weenhayek;_yaminawa;_yampara;_yapacani;_yuqui;_yurakare;_yurakare_-_mojenho;_quechua_-_aymara;_otros_pueblos_indigenas_extranjeros;_mas_de_una_descripcion;_nacion;_pueblo;_indigena;_originario;_campesino;_combinacion_de_conceptos_de_npioc;_otros_ayllus,_marcas_y_organizaciones_territoriales;interculturales_y_otras_organizaciones_indigenas;sin_especificar
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2024;País;;;;Bolivia;4,302,484;25,168;20;100;147;583;24;122;45;125;193;205;1,594,248;1,890;1,618;124;999;212;865;5,344;1,064;1,530;186;63;271;307;136;1,873;3,827;476;29,349;97,477;225;51;324;495;40;615;160;60;1,927;103,109;149;20,154;55;139;111;5,612;7,369;6,241;779;139;337;1,992;15,248;2,574;80;164;123;18,946;2,922;50;1,031;72;2,797;47;5,920;9,076;14,457;46;293;507;212;22;4,099;10,654;132;62;70;2,378;33;38;7;58;29;80;93;1,944;12,486;1,646,174;49;2,449;2,330;106;57;107;44;722;287;166;19,350;104;518;15;14;265;4,897;22,343;66;497;9;59;1,170;2,271;110;5,541;228;4,383;67;478;6,480;60;4,911;943;5,394;944;2,082;62,742;33,476;335,852;19,870;1,859;3,887;83,684
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2025;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2025;País;;;;Urbana;1,970,723;17,327;5;68;40;557;2;100;39;112;166;145;826,557;942;1,099;86;416;35;172;1,099;831;222;183;57;185;247;105;173;477;464;12,896;49,546;199;46;212;14;40;75;160;51;543;37,609;20;16,617;50;136;103;3,431;601;215;12;23;223;1,433;2,831;134;66;160;119;4,365;194;26;24;18;1,633;43;4,484;6,056;7,379;45;63;171;39;10;538;7,906;45;51;36;786;30;14;6;51;18;69;73;77;427;744,963;45;41;33;85;48;101;39;64;43;37;5,953;30;401;13;13;244;2,438;2,499;56;13;7;55;307;232;17;1,112;76;1,719;65;51;615;48;3,512;195;4,030;138;1,266;23,916;5,242;107,570;4,292;522;458;43,966
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2026;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2026;País;;;;Rural;2,331,761;7,841;15;32;107;26;22;22;6;13;27;60;767,691;948;519;38;583;177;693;4,245;233;1,308;3;6;86;60;31;1,700;3,350;12;16,453;47,931;26;5;112;481;0;540;0;9;1,384;65,500;129;3,537;5;3;8;2,181;6,768;6,026;767;116;114;559;12,417;2,440;14;4;4;14,581;2,728;24;1,007;54;1,164;4;1,436;3,020;7,078;1;230;336;173;12;3,561;2,748;87;11;34;1,592;3;24;1;7;11;11;20;1,867;12,059;901,211;4;2,408;2,297;21;9;6;5;658;244;129;13,397;74;117;2;1;21;2,459;19,844;10;484;2;4;863;2,039;93;4,429;152;2,664;2;427;5,865;12;1,399;748;1,364;806;816;38,826;28,234;228,282;15,578;1,337;3,429;39,718
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2027;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2027;Departamento; Chuquisaca;;;Chuquisaca;256,185;694;0;0;0;3;1;2;1;0;10;6;2,549;4;3;2;55;7;2;5;1;3;8;0;11;5;0;7;31;71;290;167;2;0;1;0;0;0;0;0;21;11,138;0;78;0;2;8;4;2;3,140;61;0;0;2;3;5;3;0;3;18;7;0;0;0;1;0;45;20;27;17;0;44;0;0;4;8;1;1;1;3;0;1;0;0;1;43;1;2;2,696;208,839;28;0;0;1;0;3;5;0;1;0;19;2;8;1;1;1;2;19;0;0;0;0;2;3;0;9;0;3,830;0;0;9;0;46;7;247;25;82;1,125;621;14,288;673;138;46;4,752
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2028;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2028;Departamento; Chuquisaca;;;Urbana;89,251;510;0;0;0;2;1;1;1;0;10;6;2,175;4;3;2;1;2;2;4;1;3;8;0;11;5;0;7;25;70;265;79;2;0;1;0;0;0;0;0;0;1,406;0;23;0;2;4;3;2;188;1;0;0;1;2;5;3;0;2;12;7;0;0;0;1;0;16;12;5;16;0;0;0;0;2;1;1;1;1;3;0;0;0;0;1;36;1;1;135;74,810;28;0;0;1;0;3;5;0;1;0;11;2;8;0;1;1;1;7;0;0;0;0;2;3;0;4;0;1,207;0;0;5;0;42;6;166;5;28;490;166;4,973;191;36;46;1,907
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2029;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2029;Departamento; Chuquisaca;;;Rural;166,934;184;0;0;0;1;0;1;0;0;0;0;374;0;0;0;54;5;0;1;0;0;0;0;0;0;0;0;6;1;25;88;0;0;0;0;0;0;0;0;21;9,732;0;55;0;0;4;1;0;2,952;60;0;0;1;1;0;0;0;1;6;0;0;0;0;0;0;29;8;22;1;0;44;0;0;2;7;0;0;0;0;0;1;0;0;0;7;0;1;2,561;134,029;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;0;1;12;0;0;0;0;0;0;0;5;0;2,623;0;0;4;0;4;1;81;20;54;635;455;9,315;482;102;0;2,845
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2030;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2030;Provincia; Chuquisaca;Oropeza;;Oropeza;102,489;505;0;0;0;3;1;1;1;0;10;6;1,936;4;2;1;1;5;2;4;1;3;7;0;10;5;0;7;31;71;248;68;1;0;1;0;0;0;0;0;0;563;0;19;0;2;8;3;2;3,138;0;0;0;1;2;5;3;0;3;12;7;0;0;0;1;0;14;13;5;15;0;0;0;0;2;1;1;1;1;3;0;0;0;0;1;42;1;0;1,516;82,925;28;0;0;1;0;3;5;0;1;0;11;2;7;0;1;0;1;5;0;0;0;0;2;3;0;3;0;596;0;0;5;0;39;6;233;11;67;717;262;6,686;335;67;45;2,102
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2031;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2031;Provincia; Chuquisaca;Oropeza;;Urbana;70,487;429;0;0;0;2;1;1;1;0;10;6;1,893;4;2;1;1;2;2;4;1;3;7;0;10;5;0;7;25;70;245;66;1;0;1;0;0;0;0;0;0;544;0;19;0;2;4;3;2;187;0;0;0;1;2;5;3;0;2;12;7;0;0;0;1;0;13;12;5;15;0;0;0;0;2;1;1;1;1;3;0;0;0;0;1;35;1;0;127;59,441;28;0;0;1;0;3;5;0;1;0;11;2;7;0;1;0;1;5;0;0;0;0;2;3;0;3;0;563;0;0;5;0;39;6;157;5;21;411;103;4,122;152;27;45;1,505
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2032;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2032;Provincia; Chuquisaca;Oropeza;;Rural;32,002;76;0;0;0;1;0;0;0;0;0;0;43;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;6;1;3;2;0;0;0;0;0;0;0;0;0;19;0;0;0;0;4;0;0;2,951;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1,389;23,484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;76;6;46;306;159;2,564;183;40;0;597
BOLIVIA: POBLACIÓN POR DECLARACIÓN DE AUTOIDENTIFICACIÓN CON ALGUNA NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2033;DECLARACIONES DE AUTOIDENTIFICACIÓN CENSO 2033;Municipio/TIOC; Chuquisaca;Oropeza;Sucre;Sucre;85,346;474;0;0;0;2;1;1;1;0;10;6;1,910;4;2;1;1;5;2;4;1;3;7;0;10;5;0;7;31;71;246;67;1;0;1;0;0;0;0;0;0;552;0;19;0;2;4;3;2;3,100;0;0;0;1;2;5;3;0;3;12;7;0;0;0;1;0;14;12;5;15;0;0;0;0;2;1;1;1;1;3;0;0;0;0;1;35;1;0;754;68,404;28;0;0;1;0;3;5;0;1;0;11;2;7;0;1;0;1;5;0;0;0;0;2;3;0;3;0;589;0;0;5;0;39;6;233;6;25;646;152;5,656;250;30;45;1,751
