cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;numero_total_total;numero_total_hombres;numero_total_mujeres;numero_agricultura,_ganaderia,_silvicultura_total;numero_agricultura,_ganaderia,_silvicultura_hombres;numero_agricultura,_ganaderia,_silvicultura_mujeres;numero_pesca_total;numero_pesca_hombres;numero_pesca_mujeres;numero_explotacion_de_minas_y_canteras_total;numero_explotacion_de_minas_y_canteras_hombres;numero_explotacion_de_minas_y_canteras_mujeres;numero_industria_manufacturera_total;numero_industria_manufacturera_hombres;numero_industria_manufacturera_mujeres;numero__electricidad,_gas_y_agua_total;numero__electricidad,_gas_y_agua_hombres;numero__electricidad,_gas_y_agua_mujeres;numero_construccion_total;numero_construccion_hombres;numero_construccion_mujeres;numero_comercio_al_por_mayor_y_menor_total;numero_comercio_al_por_mayor_y_menor_hombres;numero_comercio_al_por_mayor_y_menor_mujeres;numero_transporte,_almacenamiento_y_comunicacion_total;numero_transporte,_almacenamiento_y_comunicacion_hombres;numero_transporte,_almacenamiento_y_comunicacion_mujeres;numero_hoteles_y_restaurantes_total;numero_hoteles_y_restaurantes_hombres;numero_hoteles_y_restaurantes_mujeres;numero_intermedicion_financiera_total;numero_intermedicion_financiera_hombres;numero_intermedicion_financiera_mujeres;numero_servicios_inmobiliarios,_empresariales_y_de_alquiler_total;numero_servicios_inmobiliarios,_empresariales_y_de_alquiler_hombres;numero_servicios_inmobiliarios,_empresariales_y_de_alquiler_mujeres;numero_administracion,_publica,_defensa_y_seguridad_social_total;numero_administracion,_publica,_defensa_y_seguridad_social_hombres;numero_administracion,_publica,_defensa_y_seguridad_social_mujeres;numero_educacion_total;numero_educacion_hombres;numero_educacion_mujeres;numero_servicios_sociales_y_de_salud_total;numero_servicios_sociales_y_de_salud_hombres;numero_servicios_sociales_y_de_salud_mujeres;numero_servicios_comunitarios,_sociales_y_personales_total;numero_servicios_comunitarios,_sociales_y_personales_hombres;numero_servicios_comunitarios,_sociales_y_personales_mujeres;numero_servicios_a_los_hogares_y_servicios_domesticos_total;numero_servicios_a_los_hogares_y_servicios_domesticos_hombres;numero_servicios_a_los_hogares_y_servicios_domesticos_mujeres;numero_servicios_de_organizaciones_extraterritoriales_total;numero_servicios_de_organizaciones_extraterritoriales_hombres;numero_servicios_de_organizaciones_extraterritoriales_mujeres;numero_sin_especificar_total;numero_sin_especificar_hombres;numero_sin_especificar_mujeres
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2001 ;1;País;;;;Bolivia;2,910,642;1,733,319;1,177,323;846,431;592,596;253,835;3,663;3,143;520;37,649;34,650;2,999;323,954;199,130;124,824;9,643;8,654;989;182,892;178,424;4,468;468,274;204,609;263,665;165,590;154,334;11,256;120,179;31,434;88,745;15,116;9,113;6,003;81,332;55,937;25,395;73,604;57,186;16,418;148,970;64,097;84,873;59,951;22,410;37,541;82,562;43,532;39,030;136,617;5,379;131,238;1,175;629;546;153,040;68,062;84,978
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2002;3;País;;;;14 a 19;326,305;176,859;149,446;94,122;63,662;30,460;467;358;109;2,265;2,092;173;39,593;24,723;14,870;513;460;53;17,607;17,184;423;51,449;26,648;24,801;9,412;8,589;823;18,158;5,505;12,653;266;132;134;3,901;2,372;1,529;4,407;4,005;402;3,180;1,401;1,779;1,731;437;1,294;7,723;4,955;2,768;42,489;1,385;41,104;10;4;6;29,012;12,947;16,065
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2003;4;País;;;;20 a 29;806,409;482,985;323,424;179,968;130,761;49,207;1,005;858;147;10,725;10,029;696;106,817;69,190;37,627;2,782;2,418;364;57,340;55,699;1,641;133,732;62,929;70,803;53,533;48,853;4,680;33,248;10,539;22,709;5,831;3,205;2,626;27,903;17,319;10,584;20,150;14,950;5,200;40,132;15,898;24,234;16,583;4,804;11,779;26,288;14,715;11,573;45,450;1,471;43,979;203;85;118;44,719;19,262;25,457
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2004;5;País;;;;30 a 39;682,389;410,601;271,788;163,356;117,115;46,241;877;791;86;10,685;9,939;746;76,455;47,160;29,295;2,805;2,504;301;45,562;44,445;1,117;117,153;50,331;66,822;49,013;45,766;3,247;26,595;6,395;20,200;5,532;3,420;2,112;23,981;16,343;7,638;22,400;16,919;5,481;44,035;17,752;26,283;19,067;6,386;12,681;21,732;10,517;11,215;21,982;854;21,128;410;228;182;30,749;13,736;17,013
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2005;6;País;;;;40 a 49;528,777;315,997;212,780;145,929;101,830;44,099;610;525;85;8,291;7,563;728;53,072;31,304;21,768;2,272;2,060;212;34,821;34,033;788;87,771;34,939;52,832;33,817;32,012;1,805;22,268;4,624;17,644;2,488;1,601;887;14,811;10,793;4,018;17,891;13,983;3,908;40,559;17,237;23,322;13,771;5,610;8,161;14,291;6,863;7,428;13,691;579;13,112;326;171;155;22,098;10,270;11,828
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2006;7;País;;;;50 a 59;312,650;192,699;119,951;117,737;81,041;36,696;420;366;54;4,142;3,711;431;28,658;16,533;12,125;971;925;46;18,938;18,606;332;46,875;18,248;28,627;14,776;14,238;538;12,708;2,730;9,978;729;536;193;7,120;5,891;1,229;6,915;5,731;1,184;17,825;9,801;8,024;6,489;3,671;2,818;7,616;3,839;3,777;7,319;487;6,832;185;113;72;13,227;6,232;6,995
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2007;8;País;;;;60 o más;254,112;154,178;99,934;145,319;98,187;47,132;284;245;39;1,541;1,316;225;19,359;10,220;9,139;300;287;13;8,624;8,457;167;31,294;11,514;19,780;5,039;4,876;163;7,202;1,641;5,561;270;219;51;3,616;3,219;397;1,841;1,598;243;3,239;2,008;1,231;2,310;1,502;808;4,912;2,643;2,269;5,686;603;5,083;41;28;13;13,235;5,615;7,620
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2008;9;País;;;;Urbana;1,799,404;1,015,517;783,887;92,841;72,313;20,528;874;749;125;19,132;17,373;1,759;255,748;172,512;83,236;8,218;7,300;918;135,937;132,515;3,422;423,056;185,980;237,076;146,018;135,342;10,676;108,875;29,672;79,203;14,946;8,992;5,954;78,185;53,273;24,912;65,521;49,959;15,562;114,937;44,810;70,127;54,491;19,772;34,719;76,142;39,748;36,394;115,335;4,331;111,004;1,149;613;536;87,999;40,263;47,736
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2009;11;País;;;;14 a 19;194,868;97,170;97,698;9,076;7,127;1,949;134;110;24;1,006;925;81;29,818;21,205;8,613;390;348;42;12,631;12,363;268;47,129;24,598;22,531;8,085;7,334;751;16,370;5,194;11,176;260;130;130;3,762;2,271;1,491;2,868;2,495;373;2,253;956;1,297;1,446;372;1,074;7,037;4,569;2,468;37,887;1,130;36,757;10;4;6;14,706;6,039;8,667
BOLIVIA: POBLACIÓN OCUPADA DE 14 O MÁS AÑOS DE EDAD POR ACTIVIDAD ECONÓMICA Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2010;12;País;;;;20 a 29;545,146;310,676;234,470;19,989;15,645;4,344;240;204;36;5,383;4,929;454;88,168;61,088;27,080;2,353;2,016;337;43,229;41,899;1,330;122,431;57,903;64,528;46,763;42,306;4,457;30,478;10,089;20,389;5,770;3,163;2,607;26,959;16,568;10,391;18,047;13,161;4,886;27,183;9,951;17,232;14,704;4,089;10,615;24,541;13,691;10,850;39,571;1,238;38,333;192;82;110;29,145;12,654;16,491
