cuadro;descripcion;nivel;departamento;provincia;municipio/tioc;area;total;afroboliviano;araona;aymara;ayoreo;baure;canichana;cavinenho;cayubaba;chacobo;charka_qhara_qhara;chichas;chiquitano;chuwi;ese_ejja;guarani;guarasu_we;gwarayu;itonama;jach'a_carangas;jalq'a;joaquiniano;kallawaya;killacas;leco;lipez;lupaca;machineri;maropa;mojenho;mojenho_ignaciano;mojenho_trinitario;more;moseten;movima;pacahuara;pakajaqi;paunaca;puquina;quechua;qullas;raqaypampa;siriono;sora;tacana;tapiete;toromona;tsimane_;uru-chipaya;weenhayek;yaminawa;yampara;yuqui;yurakare;quechua_-_aymara;mas_de_una_descripcion;otras_declaraciones;otros_pueblos_indigenas_extranjeros
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;País;;;;Bolivia;4,302,484;25,168;147;1,595,045;1,890;1,618;865;5,344;1,064;1,530;20,323;29,561;98,983;495;1,927;103,712;149;20,154;5,612;8,299;6,241;1,992;15,384;3,812;19,110;2,922;1,031;72;2,797;6,109;9,076;19,354;212;4,099;10,654;70;2,715;7;1,944;1,646,811;2,449;2,330;722;453;19,847;104;14;22,343;3,822;5,588;228;4,383;478;6,480;5,526;5,492;544,984;943
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2025;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;País;;;;Urbana;1,970,723;17,327;40;827,278;942;1,099;172;1,099;831;222;2,723;12,931;50,133;14;543;38,112;20;16,617;3,431;1,430;215;1,433;2,936;564;4,525;194;24;18;1,633;4,533;6,056;9,817;39;538;7,906;36;1,009;6;77;745,555;41;33;64;80;5,966;30;13;2,499;737;1,155;76;1,719;51;615;3,587;4,092;187,692;195
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2026;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;País;;;;Rural;2,331,761;7,841;107;767,767;948;519;693;4,245;233;1,308;17,600;16,630;48,850;481;1,384;65,600;129;3,537;2,181;6,869;6,026;559;12,448;3,248;14,585;2,728;1,007;54;1,164;1,576;3,020;9,537;173;3,561;2,748;34;1,706;1;1,867;901,256;2,408;2,297;658;373;13,881;74;1;19,844;3,085;4,433;152;2,664;427;5,865;1,939;1,400;357,292;748
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2027;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Departamento; Chuquisaca;;;Chuquisaca;256,185;694;0;2,554;4;3;2;5;1;3;2,848;297;266;0;21;11,148;0;78;4;12;3,140;2;3;78;18;7;0;0;1;45;20;29;0;4;8;1;3;0;2;208,928;0;0;0;1;19;2;1;19;8;9;0;3,830;0;9;46;248;21,757;7
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2028;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Departamento; Chuquisaca;;;Urbana;89,251;510;0;2,179;4;3;2;4;1;3;272;267;80;0;0;1,416;0;23;3;8;188;1;2;18;12;7;0;0;1;16;12;6;0;2;1;1;3;0;1;74,897;0;0;0;1;11;2;1;7;8;4;0;1,207;0;5;42;166;7,848;6
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2029;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Departamento; Chuquisaca;;;Rural;166,934;184;0;375;0;0;0;1;0;0;2,576;30;186;0;21;9,732;0;55;1;4;2,952;1;1;60;6;0;0;0;0;29;8;23;0;2;7;0;0;0;1;134,031;0;0;0;0;8;0;0;12;0;5;0;2,623;0;4;4;82;13,909;1
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2030;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Provincia; Chuquisaca;Oropeza;;Oropeza;102,489;505;0;1,940;4;2;2;4;1;3;1,664;253;69;0;0;572;0;19;3;11;3,138;1;2;16;12;7;0;0;1;14;13;6;0;2;1;1;3;0;0;83,012;0;0;0;1;11;2;1;5;8;3;0;596;0;5;39;233;10,298;6
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2031;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Provincia; Chuquisaca;Oropeza;;Urbana;70,487;429;0;1,896;4;2;2;4;1;3;261;247;67;0;0;553;0;19;3;7;187;1;2;16;12;7;0;0;1;13;12;6;0;2;1;1;3;0;0;59,527;0;0;0;1;11;2;1;5;8;3;0;563;0;5;39;157;6,397;6
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2032;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Provincia; Chuquisaca;Oropeza;;Rural;32,002;76;0;44;0;0;0;0;0;0;1,403;6;2;0;0;19;0;0;0;4;2,951;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;23,485;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;76;3,901;0
BOLIVIA: POBLACIÓN POR NACIÓN PUEBLO INDÍGENA ORIGINARIO CAMPESINO Y AFROBOLIVIANO CON EL QUE SE AUTOIDENTIFICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2033;nacion_pueblo_indigena_originario_campesino_y_afroboliViano_agrupadas_de_acuerdo_a_lista_referencial_de_la_comision_tecnica_interinstitucional_de_autoidentificacion_e_idiomas_;Municipio/TIOC; Chuquisaca;Oropeza;Sucre;Sucre;85,346;474;0;1,913;4;2;2;4;1;3;895;251;68;0;0;561;0;19;3;7;3,100;1;2;16;12;7;0;0;1;14;12;6;0;2;1;1;3;0;0;68,491;0;0;0;1;11;2;1;5;8;3;0;589;0;5;39;233;8,567;6
