cuadro;no;nivel;departamento;provincia;municipio_tioc;area;total_incritos_en_servicio_de_registro_civil;total_incritos_en_servicio_de_registro_civil_tiene;total_incritos_en_servicio_de_registro_civil_no_tiene;total_incritos_en_servicio_de_registro_civil_sin_especificar;total_tenencia_de_cedula_de_identidad_total;total_tenencia_de_cedula_de_identidad_tiene;total_tenencia_de_cedula_de_identidad_no_tiene;total_tenencia_de_cedula_de_identidad_cedula_boliviana_de_extranjero;total_tenencia_de_cedula_de_identidad_sin_especificar;"total_inscritos_en_servicio_de_registro_civil_
()_tiene";"total_inscritos_en_servicio_de_registro_civil_
()_no_tiene";"total_tenencia_de_cedula_de_identidad
()_tiene";"total_inscritos_en_servicio_de_registro_civil_
()_no_tiene";hombres_incritos_en_servicio_de_registro_civil_total;hombres_incritos_en_servicio_de_registro_civil_tiene;hombres_incritos_en_servicio_de_registro_civil_no_tiene;hombres_incritos_en_servicio_de_registro_civil_sin_especificar;hombres_tenencia_de_cedula_de_identidad_total;hombres_tenencia_de_cedula_de_identidad_tiene;hombres_tenencia_de_cedula_de_identidad_no_tiene;hombres_tenencia_de_cedula_de_identidad_cedula_boliviana_de_extranjero;hombres_tenencia_de_cedula_de_identidad_sin_especificar;"hombres_inscritos_en_servicio_de_registro_civil_
()_tiene";"hombres_inscritos_en_servicio_de_registro_civil_
()_no_tiene";"hombres_tenencia_de_cedula_de_identidad
()_tiene";"hombres_tenencia_de_cedula_de_identidad
()_no_tiene";mujeres_incritos_en_servicio_de_registro_civil_total;mujeres_incritos_en_servicio_de_registro_civil_tiene;mujeres_incritos_en_servicio_de_registro_civil_no_tiene;mujeres_incritos_en_servicio_de_registro_civil_sin_especificar;mujeres_tenencia_de_cedula_de_identidad_total;mujeres_tenencia_de_cedula_de_identidad_tiene;mujeres_tenencia_de_cedula_de_identidad_no_tiene;mujeres_tenencia_de_cedula_de_identidad_cedula_boliviana_de_extranjero;mujeres_tenencia_de_cedula_de_identidad_sin_especificar;"mujeres_inscritos_en_servicio_de_registro_civil_
()_tiene";"mujeres_inscritos_en_servicio_de_registro_civil_
()_no_tiene";"mujeres_tenencia_de_cedula_de_identidad
()_tiene";"mujeres_tenencia_de_cedula_de_identidad
()_no_tiene"
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024 ;1;País;;;;Bolivia;11,365,333;11,220,705;99,796;44,832;11,365,333;11,175,554;87,838;48,678;53,263;99.1;0.9;99.2;0.8;5,682,498;5,605,075;53,873;23,550;5,682,498;5,581,113;46,911;26,228;28,246;99.0;1.0;99.2;0.8;5,682,835;5,615,630;45,923;21,282;5,682,835;5,594,441;40,927;22,450;25,017;99.2;0.8;99.3;0.7
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2025;2;País;;;;Urbana;7,846,708;7,758,144;64,241;24,323;7,846,708;7,731,783;49,843;34,671;30,411;99.2;0.8;99.4;0.6;3,839,005;3,791,418;34,977;12,610;3,839,005;3,777,484;26,663;18,812;16,046;99.1;0.9;99.3;0.7;4,007,703;3,966,726;29,264;11,713;4,007,703;3,954,299;23,180;15,859;14,365;99.3;0.7;99.4;0.6
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2026;3;País;;;;Rural;3,518,625;3,462,561;35,555;20,509;3,518,625;3,443,771;37,995;14,007;22,852;99.0;1.0;98.9;1.1;1,843,493;1,813,657;18,896;10,940;1,843,493;1,803,629;20,248;7,416;12,200;99.0;1.0;98.9;1.1;1,675,132;1,648,904;16,659;9,569;1,675,132;1,640,142;17,747;6,591;10,652;99.0;1.0;98.9;1.1
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2027;4;Departamento;Chuquisaca;;;Chuquisaca;606,027;600,837;3,089;2,101;606,027;599,423;2,973;1,252;2,379;99.5;0.5;99.5;0.5;299,161;296,470;1,644;1,047;299,161;295,708;1,603;656;1,194;99.4;0.6;99.5;0.5;306,866;304,367;1,445;1,054;306,866;303,715;1,370;596;1,185;99.5;0.5;99.6;0.4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2028;5;Departamento;Chuquisaca;;;Urbana;336,345;334,125;1,511;709;336,345;333,457;1,205;815;868;99.5;0.5;99.6;0.4;161,387;160,216;811;360;161,387;159,865;650;421;451;99.5;0.5;99.6;0.4;174,958;173,909;700;349;174,958;173,592;555;394;417;99.6;0.4;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2029;6;Departamento;Chuquisaca;;;Rural;269,682;266,712;1,578;1,392;269,682;265,966;1,768;437;1,511;99.4;0.6;99.3;0.7;137,774;136,254;833;687;137,774;135,843;953;235;743;99.4;0.6;99.3;0.7;131,908;130,458;745;705;131,908;130,123;815;202;768;99.4;0.6;99.4;0.6
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;319,651;317,544;1,365;742;319,651;316,927;1,069;756;899;99.6;0.4;99.7;0.3;153,758;152,675;721;362;153,758;152,350;564;389;455;99.5;0.5;99.6;0.4;165,893;164,869;644;380;165,893;164,577;505;367;444;99.6;0.4;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;275,959;274,222;1,205;532;275,959;273,688;906;695;670;99.6;0.4;99.7;0.3;131,625;130,729;638;258;131,625;130,453;480;353;339;99.5;0.5;99.6;0.4;144,334;143,493;567;274;144,334;143,235;426;342;331;99.6;0.4;99.7;0.3
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;43,692;43,322;160;210;43,692;43,239;163;61;229;99.6;0.4;99.6;0.4;22,133;21,946;83;104;22,133;21,897;84;36;116;99.6;0.4;99.6;0.4;21,559;21,376;77;106;21,559;21,342;79;25;113;99.6;0.4;99.6;0.4
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL Y TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;296,746;294,841;1,266;639;296,746;294,266;958;731;791;99.6;0.4;99.7;0.3;142,122;141,142;671;309;142,122;140,844;504;376;398;99.5;0.5;99.6;0.4;154,624;153,699;595;330;154,624;153,422;454;355;393;99.6;0.4;99.7;0.3
