cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2001_total;2001_total_tiene;2001_total_no_tiene;2001_total_sin_especificar;2001_hombres_total;2001_hombres_tiene;2001_hombres_no_tiene;2001_hombres_sin_especificar;2001_mujeres_total;2001_mujeres_tiene;2001_mujeres_no_tiene;2001_mujeres_sin_especificar;2012_total;2012_total_tiene;2012_total_no_tiene;2012_total_sin_especificar;2012_hombres_total;2012_hombres_tiene;2012_hombres_no_tiene;2012_hombres_sin_especificar;2012_mujeres_total;2012_mujeres_tiene;2012_mujeres_no_tiene;2012_mujeres_sin_especificar;2024_total;2024_total_tiene;2024_total_no_tiene;2024_total_sin_especificar;2024_hombres_total;2024_hombres_tiene;2024_hombres_no_tiene;2024_hombres_sin_especificar;2024_mujeres_total;2024_mujeres_tiene;2024_mujeres_no_tiene;2024_mujeres_sin_especificar
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;8,274,325;7,481,581;606,036;186,708;4,123,850;3,741,410;291,350;91,090;4,150,475;3,740,171;314,686;95,618;10,059,856;9,851,684;179,919;28,253;5,019,447;4,913,317;91,658;14,472;5,040,409;4,938,367;88,261;13,781;11,365,333;11,220,705;99,796;44,832;5,682,498;5,605,075;53,873;23,550;5,682,835;5,615,630;45,923;21,282
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2025;2;País;;;;Urbana;5,165,230;4,771,898;289,385;103,947;2,517,106;2,328,518;138,610;49,978;2,648,124;2,443,380;150,775;53,969;6,788,962;6,688,279;88,000;12,683;3,314,824;3,263,466;44,918;6,440;3,474,138;3,424,813;43,082;6,243;7,846,708;7,758,144;64,241;24,323;3,839,005;3,791,418;34,977;12,610;4,007,703;3,966,726;29,264;11,713
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2026;3;País;;;;Rural;3,109,095;2,709,683;316,651;82,761;1,606,744;1,412,892;152,740;41,112;1,502,351;1,296,791;163,911;41,649;3,270,894;3,163,405;91,919;15,570;1,704,623;1,649,851;46,740;8,032;1,566,271;1,513,554;45,179;7,538;3,518,625;3,462,561;35,555;20,509;1,843,493;1,813,657;18,896;10,940;1,675,132;1,648,904;16,659;9,569
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;531,522;455,173;65,341;11,008;260,604;225,502;29,869;5,233;270,918;229,671;35,472;5,775;580,923;566,646;11,908;2,369;285,677;278,766;5,686;1,225;295,246;287,880;6,222;1,144;606,027;600,837;3,089;2,101;299,161;296,470;1,644;1,047;306,866;304,367;1,445;1,054
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;218,126;204,723;9,436;3,967;104,015;97,935;4,216;1,864;114,111;106,788;5,220;2,103;283,123;280,342;2,100;681;134,896;133,456;1,085;355;148,227;146,886;1,015;326;336,345;334,125;1,511;709;161,387;160,216;811;360;174,958;173,909;700;349
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;313,396;250,450;55,905;7,041;156,589;127,567;25,653;3,369;156,807;122,883;30,252;3,672;297,800;286,304;9,808;1,688;150,781;145,310;4,601;870;147,019;140,994;5,207;818;269,682;266,712;1,578;1,392;137,774;136,254;833;687;131,908;130,458;745;705
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;241,376;223,757;12,870;4,749;116,072;108,159;5,690;2,223;125,304;115,598;7,180;2,526;287,615;284,039;2,694;882;137,888;136,137;1,313;438;149,727;147,902;1,381;444;319,651;317,544;1,365;742;153,758;152,675;721;362;165,893;164,869;644;380
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;193,876;182,526;7,841;3,509;92,404;87,231;3,525;1,648;101,472;95,295;4,316;1,861;238,798;236,725;1,485;588;113,456;112,394;761;301;125,342;124,331;724;287;275,959;274,222;1,205;532;131,625;130,729;638;258;144,334;143,493;567;274
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;47,500;41,231;5,029;1,240;23,668;20,928;2,165;575;23,832;20,303;2,864;665;48,817;47,314;1,209;294;24,432;23,743;552;137;24,385;23,571;657;157;43,692;43,322;160;210;22,133;21,946;83;104;21,559;21,376;77;106
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;214,913;200,806;10,034;4,073;102,930;96,559;4,469;1,902;111,983;104,247;5,565;2,171;261,622;258,994;1,901;727;124,884;123,554;963;367;136,738;135,440;938;360;296,746;294,841;1,266;639;142,122;141,142;671;309;154,624;153,699;595;330
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;193,876;182,526;7,841;3,509;92,404;87,231;3,525;1,648;101,472;95,295;4,316;1,861;238,798;236,725;1,485;588;113,456;112,394;761;301;125,342;124,331;724;287;275,959;274,222;1,205;532;131,625;130,729;638;258;144,334;143,493;567;274
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;21,037;18,280;2,193;564;10,526;9,328;944;254;10,511;8,952;1,249;310;22,824;22,269;416;139;11,428;11,160;202;66;11,396;11,109;214;73;20,787;20,619;61;107;10,497;10,413;33;51;10,290;10,206;28;56
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;9,497;8,882;361;254;4,663;4,382;161;120;4,834;4,500;200;134;9,461;9,379;63;19;4,704;4,671;27;6;4,757;4,708;36;13;9,256;9,167;59;30;4,654;4,607;29;18;4,602;4,560;30;12
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;9,497;8,882;361;254;4,663;4,382;161;120;4,834;4,500;200;134;9,461;9,379;63;19;4,704;4,671;27;6;4,757;4,708;36;13;9,256;9,167;59;30;4,654;4,607;29;18;4,602;4,560;30;12
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;16,966;14,069;2,475;422;8,479;7,218;1,060;201;8,487;6,851;1,415;221;16,532;15,666;730;136;8,300;7,912;323;65;8,232;7,754;407;71;13,649;13,536;40;73;6,982;6,926;21;35;6,667;6,610;19;38
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;16,966;14,069;2,475;422;8,479;7,218;1,060;201;8,487;6,851;1,415;221;16,532;15,666;730;136;8,300;7,912;323;65;8,232;7,754;407;71;13,649;13,536;40;73;6,982;6,926;21;35;6,667;6,610;19;38
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;27,579;18,259;8,784;536;13,656;9,372;4,037;247;13,923;8,887;4,747;289;24,913;23,696;1,024;193;12,651;12,077;479;95;12,262;11,619;545;98;24,715;24,447;85;183;12,272;12,147;46;79;12,443;12,300;39;104
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;27,579;18,259;8,784;536;13,656;9,372;4,037;247;13,923;8,887;4,747;289;24,913;23,696;1,024;193;12,651;12,077;479;95;12,262;11,619;545;98;24,715;24,447;85;183;12,272;12,147;46;79;12,443;12,300;39;104
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;11,349;7,028;4,116;205;5,573;3,581;1,894;98;5,776;3,447;2,222;107;10,652;10,113;433;106;5,414;5,151;212;51;5,238;4,962;221;55;7,903;7,790;26;87;4,004;3,951;14;39;3,899;3,839;12;48
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;11,349;7,028;4,116;205;5,573;3,581;1,894;98;5,776;3,447;2,222;107;10,652;10,113;433;106;5,414;5,151;212;51;5,238;4,962;221;55;7,903;7,790;26;87;4,004;3,951;14;39;3,899;3,839;12;48
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;16,230;11,231;4,668;331;8,083;5,791;2,143;149;8,147;5,440;2,525;182;14,261;13,583;591;87;7,237;6,926;267;44;7,024;6,657;324;43;16,812;16,657;59;96;8,268;8,196;32;40;8,544;8,461;27;56
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;16,230;11,231;4,668;331;8,083;5,791;2,143;149;8,147;5,440;2,525;182;14,261;13,583;591;87;7,237;6,926;267;44;7,024;6,657;324;43;16,812;16,657;59;96;8,268;8,196;32;40;8,544;8,461;27;56
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;32,418;26,473;5,119;826;16,205;13,476;2,313;416;16,213;12,997;2,806;410;39,589;38,175;1,185;229;19,969;19,292;559;118;19,620;18,883;626;111;44,443;44,067;164;212;22,889;22,682;89;118;21,554;21,385;75;94
