cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2012_total;2012_total_tiene;2012_total_no_tiene;2012_hombres_total;2012_hombres_tiene;2012_hombres_no_tiene;2012_mujeres_total;2012_mujeres_tiene;2012_mujeres_no_tiene;2024_total;2024_total_tiene;2024_total_no_tiene;2024_total_cedula_boliviana_de_extranjero;2024_total_sin_especificar;2024_hombres_total;2024_hombres_tiene;2024_hombres_no_tiene;2024_hombres_cedula_boliviana_de_extranjero;2024_hombres_sin_especificar;2024_mujeres_total;2024_mujeres_tiene;2024_mujeres_no_tiene;2024_mujeres_cedula_boliviana_de_extranjero;2024_mujeres_sin_especificar
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024;1;País;;;;Bolivia;10,059,856;8,007,373;2,052,483;5,019,447;3,969,639;1,049,808;5,040,409;4,037,734;1,002,675;11,365,333;11,175,554;87,838;48,678;53,263;5,682,498;5,581,113;46,911;26,228;28,246;5,682,835;5,594,441;40,927;22,450;25,017
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2025;2;País;;;;Urbana;6,788,962;5,481,624;1,307,338;3,314,824;2,647,840;666,984;3,474,138;2,833,784;640,354;7,846,708;7,731,783;49,843;34,671;30,411;3,839,005;3,777,484;26,663;18,812;16,046;4,007,703;3,954,299;23,180;15,859;14,365
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2026;3;País;;;;Rural;3,270,894;2,525,749;745,145;1,704,623;1,321,799;382,824;1,566,271;1,203,950;362,321;3,518,625;3,443,771;37,995;14,007;22,852;1,843,493;1,803,629;20,248;7,416;12,200;1,675,132;1,640,142;17,747;6,591;10,652
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;580,923;449,949;130,974;285,677;220,389;65,288;295,246;229,560;65,686;606,027;599,423;2,973;1,252;2,379;299,161;295,708;1,603;656;1,194;306,866;303,715;1,370;596;1,185
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;283,123;228,374;54,749;134,896;107,419;27,477;148,227;120,955;27,272;336,345;333,457;1,205;815;868;161,387;159,865;650;421;451;174,958;173,592;555;394;417
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;297,800;221,575;76,225;150,781;112,970;37,811;147,019;108,605;38,414;269,682;265,966;1,768;437;1,511;137,774;135,843;953;235;743;131,908;130,123;815;202;768
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;287,615;226,968;60,647;137,888;107,583;30,305;149,727;119,385;30,342;319,651;316,927;1,069;756;899;153,758;152,350;564;389;455;165,893;164,577;505;367;444
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;238,798;192,034;46,764;113,456;90,023;23,433;125,342;102,011;23,331;275,959;273,688;906;695;670;131,625;130,453;480;353;339;144,334;143,235;426;342;331
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;48,817;34,934;13,883;24,432;17,560;6,872;24,385;17,374;7,011;43,692;43,239;163;61;229;22,133;21,897;84;36;116;21,559;21,342;79;25;113
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;261,622;209,002;52,620;124,884;98,509;26,375;136,738;110,493;26,245;296,746;294,266;958;731;791;142,122;140,844;504;376;398;154,624;153,422;454;355;393
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;238,798;192,034;46,764;113,456;90,023;23,433;125,342;102,011;23,331;275,959;273,688;906;695;670;131,625;130,453;480;353;339;144,334;143,235;426;342;331
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;22,824;16,968;5,856;11,428;8,486;2,942;11,396;8,482;2,914;20,787;20,578;52;36;121;10,497;10,391;24;23;59;10,290;10,187;28;13;62
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;9,461;7,918;1,543;4,704;3,914;790;4,757;4,004;753;9,256;9,156;45;22;33;4,654;4,600;23;11;20;4,602;4,556;22;11;13
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;9,461;7,918;1,543;4,704;3,914;790;4,757;4,004;753;9,256;9,156;45;22;33;4,654;4,600;23;11;20;4,602;4,556;22;11;13
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;16,532;10,048;6,484;8,300;5,160;3,140;8,232;4,888;3,344;13,649;13,505;66;3;75;6,982;6,906;37;2;37;6,667;6,599;29;1;38
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;16,532;10,048;6,484;8,300;5,160;3,140;8,232;4,888;3,344;13,649;13,505;66;3;75;6,982;6,906;37;2;37;6,667;6,599;29;1;38
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;24,913;16,589;8,324;12,651;8,481;4,170;12,262;8,108;4,154;24,715;24,394;113;15;193;12,272;12,129;55;8;80;12,443;12,265;58;7;113
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;24,913;16,589;8,324;12,651;8,481;4,170;12,262;8,108;4,154;24,715;24,394;113;15;193;12,272;12,129;55;8;80;12,443;12,265;58;7;113
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;10,652;7,357;3,295;5,414;3,773;1,641;5,238;3,584;1,654;7,903;7,770;42;2;89;4,004;3,944;22;0;38;3,899;3,826;20;2;51
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;10,652;7,357;3,295;5,414;3,773;1,641;5,238;3,584;1,654;7,903;7,770;42;2;89;4,004;3,944;22;0;38;3,899;3,826;20;2;51
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;14,261;9,232;5,029;7,237;4,708;2,529;7,024;4,524;2,500;16,812;16,624;71;13;104;8,268;8,185;33;8;42;8,544;8,439;38;5;62
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;14,261;9,232;5,029;7,237;4,708;2,529;7,024;4,524;2,500;16,812;16,624;71;13;104;8,268;8,185;33;8;42;8,544;8,439;38;5;62
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;39,589;28,845;10,744;19,969;14,578;5,391;19,620;14,267;5,353;44,443;43,979;195;41;228;22,889;22,631;104;26;128;21,554;21,348;91;15;100
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;7,076;5,685;1,391;3,581;2,821;760;3,495;2,864;631;9,730;9,657;33;13;27;4,840;4,802;17;8;13;4,890;4,855;16;5;14
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;32,513;23,160;9,353;16,388;11,757;4,631;16,125;11,403;4,722;34,713;34,322;162;28;201;18,049;17,829;87;18;115;16,664;16,493;75;10;86
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;11,362;8,508;2,854;5,795;4,344;1,451;5,567;4,164;1,403;13,694;13,596;28;8;62;7,143;7,089;17;3;34;6,551;6,507;11;5;28
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;4,168;3,457;711;2,124;1,732;392;2,044;1,725;319;4,790;4,756;16;2;16;2,422;2,402;10;1;9;2,368;2,354;6;1;7
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;7,194;5,051;2,143;3,671;2,612;1,059;3,523;2,439;1,084;8,904;8,840;12;6;46;4,721;4,687;7;2;25;4,183;4,153;5;4;21
