cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2012_total;2012_total_tiene;2012_total_no_tiene;2012_hombres_total;2012_hombres_tiene;2012_hombres_no_tiene;2012_mujeres_total;2012_mujeres_tiene;2012_mujeres_no_tiene;2024_total_;2024_total_tiene;2024_total_no_tiene;2024_hombres_total;2024_hombres_tiene;2024_hombres_no_tiene;2024_mujeres_total;2024_mujeres_tiene;2024_mujeres_no_tiene
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024;1;País;;;;Bolivia;100.0;79.6;20.4;100.0;79.1;20.9;100.0;80.1;19.9;100.0;99.2;0.8;100.0;99.2;0.8;100.0;99.3;0.7
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2025;2;País;;;;Urbana;100.0;80.7;19.3;100.0;79.9;20.1;100.0;81.6;18.4;100.0;99.4;0.6;100.0;99.3;0.7;100.0;99.4;0.6
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2026;3;País;;;;Rural;100.0;77.2;22.8;100.0;77.5;22.5;100.0;76.9;23.1;100.0;98.9;1.1;100.0;98.9;1.1;100.0;98.9;1.1
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;100.0;77.5;22.5;100.0;77.1;22.9;100.0;77.8;22.2;100.0;99.5;0.5;100.0;99.5;0.5;100.0;99.6;0.4
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;100.0;80.7;19.3;100.0;79.6;20.4;100.0;81.6;18.4;100.0;99.6;0.4;100.0;99.6;0.4;100.0;99.7;0.3
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;100.0;74.4;25.6;100.0;74.9;25.1;100.0;73.9;26.1;100.0;99.3;0.7;100.0;99.3;0.7;100.0;99.4;0.6
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;100.0;78.9;21.1;100.0;78.0;22.0;100.0;79.7;20.3;100.0;99.7;0.3;100.0;99.6;0.4;100.0;99.7;0.3
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;100.0;80.4;19.6;100.0;79.3;20.7;100.0;81.4;18.6;100.0;99.7;0.3;100.0;99.6;0.4;100.0;99.7;0.3
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;100.0;71.6;28.4;100.0;71.9;28.1;100.0;71.2;28.8;100.0;99.6;0.4;100.0;99.6;0.4;100.0;99.6;0.4
BOLIVIA: POBLACIÓN POR TENENCIA DE CÉDULA DE IDENTIDAD POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;100.0;79.9;20.1;100.0;78.9;21.1;100.0;80.8;19.2;100.0;99.7;0.3;100.0;99.6;0.4;100.0;99.7;0.3
