cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_estado_civil;2001_total;2001_hombres;2001_mujeres;2001_grupo_de_dedad__15_a_17;2001_grupo_de_dedad__18_a_28;2001_grupo_de_dedad__29_a_39;2001_grupo_de_dedad__40_a_59;2001_grupo_de_dedad__60_o_mas;2012_total;2012_hombres;2012_mujeres;2012_grupo_de_dedad__15_a_17;2012_grupo_de_dedad__18_a_28;2012_grupo_de_dedad__29_a_39;2012_grupo_de_dedad__40_a_59;2012_grupo_de_dedad__60_o_mas;2024_total;2024_hombres;2024_mujeres;2024_grupo_de_dedad__15_a_17;2024_grupo_de_dedad__18_a_28;2024_grupo_de_dedad__29_a_39;2024_grupo_de_dedad__40_a_59;2024_grupo_de_dedad__60_o_mas
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2024;1;País;;;;Bolivia;5,076,251;2,592,812;2,483,439;532,198;1,625,541;1,099,349;1,239,904;579,259;6,899,090;3,490,426;3,408,664;671,611;2,087,361;1,528,176;1,733,930;878,012;8,301,489;4,183,759;4,117,730;617,208;2,220,232;1,928,137;2,305,419;1,230,493
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2025;2;País;;;;Soltero;1,827,697;858,402;969,295;509,855;937,618;199,280;130,127;50,817;2,761,789;1,304,966;1,456,823;639,186;1,314,765;403,129;287,388;117,321;3,248,153;1,539,501;1,708,652;593,904;1,500,127;590,735;413,066;150,321
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2026;3;País;;;;Casado;2,158,496;1,097,720;1,060,776;6,148;339,481;647,937;854,946;309,984;2,451,440;1,238,276;1,213,164;6,333;274,689;673,131;1,033,932;463,355;2,461,178;1,239,843;1,221,335;1,028;131,950;578,418;1,134,796;614,986
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2027;4;País;;;;Conviviente o concubino;668,662;348,044;320,618;15,366;327,850;201,103;106,744;17,599;1,156,780;596,211;560,569;24,506;472,755;388,425;229,802;41,292;1,624,978;827,253;797,725;11,685;489,559;619,267;431,671;72,796
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2028;5;País;;;;Separado;88,458;59,492;28,966;614;13,910;24,581;38,345;11,008;121,243;77,001;44,242;645;13,853;30,407;56,697;19,641;222,817;132,223;90,594;1,478;25,988;56,664;99,026;39,661
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2029;6;País;;;;Divorciado;63,166;39,370;23,796;79;3,792;14,031;31,904;13,360;90,328;53,657;36,671;142;2,986;15,992;46,715;24,493;184,634;107,749;76,885;245;3,922;27,387;96,996;56,084
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2030;7;País;;;;Viudo;269,772;189,784;79,988;136;2,890;12,417;77,838;176,491;300,721;211,983;88,738;491;4,549;12,094;73,975;209,612;360,200;255,467;104,733;698;3,986;11,568;79,249;264,699
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2031;8;País;;;;Sin especificar;;;;;;;;;16,789;8,332;8,457;308;3,764;4,998;5,421;2,298;199,529;81,723;117,806;8,170;64,700;44,098;50,615;31,946
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2032;9;País;;;;Urbana;3,277,599;1,722,786;1,554,813;353,837;1,141,647;734,598;755,577;291,940;4,719,901;2,455,589;2,264,312;451,672;1,517,974;1,099,913;1,141,327;509,015;5,779,161;2,991,002;2,788,159;432,877;1,600,505;1,404,417;1,577,744;763,618
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD POR SEXO Y GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y ESTADO CIVIL, CENSOS 2001, 2012 Y  2033;10;País;;;;Soltero;1,299,684;636,732;662,952;341,801;701,544;142,592;84,500;29,247;2,001,182;979,860;1,021,322;433,351;994,499;301,714;198,369;73,249;2,389,660;1,169,473;1,220,187;420,241;1,135,117;445,381;290,293;98,628
