cuadro;pregunta;no.;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;2001_poblacion_total;2001_poblacion_hombres;2001_poblacion_mujeres;2001_tasa_de_alfabetismo_total;2001_tasa_de_alfabetismo_hombres;2001_tasa_de_alfabetismo_mujeres;2001_brecha_hombres-mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_tasa_de_alfabetismo_total;2012_tasa_de_alfabetismo_hombres;2012_tasa_de_alfabetismo_mujeres;2012_brecha_hombres-mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_tasa_de_alfabetismo_total;2024_tasa_de_alfabetismo_hombres;2024_tasa_de_alfabetismo_mujeres;2024_brecha_hombres-mujeres
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2024;tasa de alfabetismo;1;País;;;;Bolivia;5,047,139;2,469,749;2,577,390;86.7;93.1;80.7;12.4;6,812,642;3,367,022;3,445,620;94.9;97.6;92.3;5.2;8,161,370;4,050,255;4,111,115;95.9;98.1;93.7;4.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2025;tasa de alfabetismo;2;País;;;;15 a 24 ;1,646,950;817,945;829,005;97.3;98.5;96.1;2.4;2,063,748;1,042,031;1,021,717;99.4;99.5;99.3;0.2;2,006,749;1,017,470;989,279;99.5;99.5;99.5;0.0
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2026;tasa de alfabetismo;3;País;;;;25 a 39 ;1,593,566;775,461;818,105;93.3;97.0;89.7;7.3;2,173,810;1,075,442;1,098,368;98.3;99.1;97.5;1.6;2,688,037;1,339,698;1,348,339;99.2;99.4;99.0;0.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2027;tasa de alfabetismo;4;País;;;;40 a 59 ;1,232,183;610,215;621,968;80.2;90.9;69.6;21.3;1,710,426;846,256;864,170;94.2;97.5;90.9;6.7;2,265,920;1,126,225;1,139,695;96.2;98.3;94.1;4.2
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2028;tasa de alfabetismo;5;País;;;;60 o más ;574,440;266,128;308,312;52.1;69.5;37.2;32.3;864,658;403,293;461,365;77.3;88.6;67.4;21.2;1,200,664;566,862;633,802;81.6;91.9;72.4;19.4
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2029;tasa de alfabetismo;6;País;;;;Urbana;3,262,226;1,547,133;1,715,093;93.6;97.5;90.0;7.5;4,663,384;2,237,300;2,426,084;97.3;99.0;95.8;3.1;5,704,198;2,752,193;2,952,005;97.6;99.0;96.3;2.7
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2030;tasa de alfabetismo;7;País;;;;15 a 24 ;1,143,398;551,826;591,572;98.8;99.3;98.2;1.2;1,466,191;721,249;744,942;99.6;99.7;99.6;0.1;1,438,804;719,501;719,303;99.6;99.6;99.7;-0.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2031;tasa de alfabetismo;8;País;;;;25 a 39 ;1,076,792;506,424;570,368;96.9;98.9;95.1;3.8;1,569,637;753,122;816,515;99.1;99.5;98.6;0.9;1,957,973;946,902;1,011,071;99.4;99.6;99.3;0.2
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2032;tasa de alfabetismo;9;País;;;;40 a 59 ;751,629;360,400;391,229;89.9;96.7;83.7;13.1;1,126,273;537,440;588,833;96.9;98.9;95.1;3.9;1,556,725;746,032;810,693;97.8;99.2;96.5;2.6
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2033;tasa de alfabetismo;10;País;;;;60 o más ;290,407;128,483;161,924;70.1;86.3;57.3;29.1;501,283;225,489;275,794;86.1;94.7;79.1;15.6;750,696;339,758;410,938;88.7;95.9;82.7;13.2
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2034;tasa de alfabetismo;11;País;;;;Rural;1,784,913;922,616;862,297;74.2;85.6;62.1;23.5;2,149,258;1,129,722;1,019,536;89.7;94.8;84.0;10.8;2,457,172;1,298,062;1,159,110;91.8;96.1;87.0;9.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2035;tasa de alfabetismo;12;País;;;;15 a 24 ;503,552;266,119;237,433;94.1;96.9;90.9;6.0;597,557;320,782;276,775;98.7;98.9;98.5;0.5;567,945;297,969;269,976;99.3;99.3;99.2;0.1
BOLIVIA: POBLACIÓN DE 15 O MÁS AÑOS DE EDAD Y TASA DE ALFABETISMO POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2036;tasa de alfabetismo;13;País;;;;25 a 39 ;516,774;269,037;247,737;85.8;93.5;77.4;16.1;604,173;322,320;281,853;96.2;98.0;94.2;3.8;730,064;392,796;337,268;98.5;99.0;98.0;1.0
