cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;2001_poblacion_total;2001_poblacion_hombres;2001_poblacion_mujeres;2001_tasa_asistencia_total;2001_tasa_asistencia_hombres;2001_tasa_asistencia_mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_tasa_asistencia_total;2012_tasa_asistencia_hombres;2012_tasa_asistencia_mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_tasa_asistencia_total;2024_tasa_asistencia_hombres;2024_tasa_asistencia_mujeres;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;2,829,470;1,442,070;1,387,400;80.1;80.8;79.3;2,904,603;1,476,236;1,428,367;87.1;86.9;87.3;2,962,644;1,511,105;1,451,539;94.3;94.0;94.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2025;2;País;;;;4 a 5 ;423,019;219,192;203,827;41.9;41.5;42.3;385,330;196,371;188,959;52.7;52.0;53.4;378,424;193,303;185,121;84.4;84.2;84.7;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2026;3;País;;;;6 a 11 ;1,266,344;647,912;618,432;92.9;92.9;92.8;1,194,875;608,644;586,231;96.5;96.2;96.8;1,319,065;672,948;646,117;98.1;98.0;98.1;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2027;4;País;;;;12 a 17 ;1,140,107;574,966;565,141;80.0;82.1;77.9;1,324,398;671,221;653,177;88.7;88.7;88.6;1,265,155;644,854;620,301;93.3;92.8;93.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2028;5;País;;;;Urbana;1,727,641;867,350;860,291;84.7;85.1;84.3;1,911,274;962,467;948,807;89.4;89.0;89.8;2,036,140;1,031,708;1,004,432;96.1;95.8;96.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2029;6;País;;;;4 a 5 ;247,758;128,659;119,099;47.1;46.5;47.7;255,623;130,290;125,333;56.8;56.2;57.5;257,191;130,968;126,223;87.4;87.1;87.6;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2030;7;País;;;;6 a 11 ;747,458;379,675;367,783;95.4;95.3;95.5;776,946;394,667;382,279;97.3;97.0;97.6;899,269;456,709;442,560;98.8;98.7;98.8;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2031;8;País;;;;12 a 17 ;732,425;359,016;373,409;86.4;88.1;84.9;878,705;437,510;441,195;91.8;91.6;92.1;879,680;444,031;435,649;95.9;95.4;96.4;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2032;9;País;;;;Rural;1,101,829;574,720;527,109;72.8;74.3;71.2;993,329;513,769;479,560;82.8;83.0;82.4;926,504;479,397;447,107;90.3;90.2;90.5;;;
BOLIVIA: POBLACIÓN DE 4 A 17 AÑOS DE EDAD Y TASA DE ASISTENCIA POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2033;10;País;;;;4 a 5 ;175,261;90,533;84,728;34.6;34.5;34.7;129,707;66,081;63,626;44.5;43.7;45.2;121,233;62,335;58,898;78.2;78.0;78.5;;;
