cuadro;no;nivel;departamento;provincio;municipio_tioc;area;2001_total_poblacion;2001_total_hombres;2001_total_mujeres;2001_ninguno_total;2001_ninguno_hombres;2001_ninguno_mujeres;2001_primaria_total;2001_primaria_hombres;2001_primaria_mujeres;2001_secundaria_total;2001_secundaria_hombres;2001_secundaria_mujeres;2001_superior_total;2001_superior_hombres;2001_superior_mujeres;2001_otros_total;2001_otros_hombres;2001_otros_mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_ninguno_total;2012_ninguno_hombres;2012_ninguno_mujeres;2012_primaria_total;2012_primaria_hombres;2012_primaria_mujeres;2012_secundaria_total;2012_secundaria_hombres;2012_secundaria_mujeres;2012_superior_total;2012_superior_hombres;2012_superior_mujeres;2012_otros_total;2012_otros_hombres;2012_otros_mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_ninguno_total;2024_ninguno_hombres;2024_ninguno_mujeres;2024_primaria_total;2024_primaria_hombres;2024_primaria_mujeres;2024_secundaria_total;2024_secundaria_hombres;2024_secundaria_mujeres;2024_superior_total;2024_superior_hombres;2024_superior_mujeres
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2024;1;Pa¡s;;;;Bolivia;4,332,266;2,109,096;2,223,170;605,177;163,444;441,733;1,515,340;722,041;793,299;1,433,475;812,378;621,097;742,528;393,812;348,716;35,746;17,421;18,325;5,919,871;2,914,692;3,005,179;469,243;127,642;341,601;1,636,143;760,609;875,534;2,350,646;1,284,548;1,066,098;1,431,681;726,489;705,192;32,158;15,404;16,754;7,350,282;3,636,954;3,713,328;362,260;93,990;268,270;1,472,414;667,295;805,119;3,061,729;1,693,290;1,368,439;2,453,879;1,182,379;1,271,500
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2025;2;Pa¡s;;;;Urbana;2,783,500;1,313,942;1,469,558;187,120;39,769;147,351;738,975;291,797;447,178;1,140,696;610,280;530,416;685,944;357,361;328,583;30,765;14,735;16,030;4,057,903;1,938,267;2,119,636;173,443;41,043;132,400;824,033;331,119;492,914;1,741,554;910,421;831,133;1,292,793;643,455;649,338;26,080;12,229;13,851;5,123,587;2,459,533;2,664,054;145,872;34,550;111,322;703,448;278,877;424,571;2,118,328;1,125,342;992,986;2,155,939;1,020,764;1,135,175
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2026;3;Pa¡s;;;;Rural;1,548,766;795,154;753,612;418,057;123,675;294,382;776,365;430,244;346,121;292,779;202,098;90,681;56,584;36,451;20,133;4,981;2,686;2,295;1,861,968;976,425;885,543;295,800;86,599;209,201;812,110;429,490;382,620;609,092;374,127;234,965;138,888;83,034;55,854;6,078;3,175;2,903;2,226,695;1,177,421;1,049,274;216,388;59,440;156,948;768,966;388,418;380,548;943,401;567,948;375,453;297,940;161,615;136,325
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;263,623;124,685;138,938;76,082;24,808;51,274;96,886;52,694;44,192;41,350;22,716;18,634;47,677;23,703;23,974;1,628;764;864;329,651;158,643;171,008;53,757;16,549;37,208;109,790;57,562;52,228;81,937;43,735;38,202;82,764;40,146;42,618;1,403;651;752;394,559;192,254;202,305;40,135;11,604;28,531;105,933;53,745;52,188;109,923;61,523;48,400;138,568;65,382;73,186
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;117,682;54,295;63,387;13,033;3,288;9,745;28,842;12,916;15,926;30,962;16,104;14,858;43,415;21,332;22,083;1,430;655;775;168,088;77,700;90,388;11,859;2,920;8,939;33,722;14,640;19,082;50,552;25,966;24,586;70,817;33,662;37,155;1,138;512;626;222,674;104,367;118,307;10,950;2,517;8,433;32,909;13,839;19,070;61,604;33,544;28,060;117,211;54,467;62,744
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;145,941;70,390;75,551;63,049;21,520;41,529;68,044;39,778;28,266;10,388;6,612;3,776;4,262;2,371;1,891;198;109;89;161,563;80,943;80,620;41,898;13,629;28,269;76,068;42,922;33,146;31,385;17,769;13,616;11,947;6,484;5,463;265;139;126;171,885;87,887;83,998;29,185;9,087;20,098;73,024;39,906;33,118;48,319;27,979;20,340;21,357;10,915;10,442
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;128,876;59,916;68,960;21,206;6,304;14,902;35,506;17,246;18,260;29,371;15,475;13,896;41,460;20,277;21,183;1,333;614;719;169,773;78,990;90,783;15,753;4,288;11,465;38,661;17,789;20,872;48,308;25,072;23,236;65,978;31,373;34,605;1,073;468;605;211,473;99,431;112,042;12,327;2,865;9,462;35,262;15,558;19,704;57,623;31,792;25,831;106,261;49,216;57,045
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;105,711;48,724;56,987;10,907;2,728;8,179;24,692;10,913;13,779;27,948;14,537;13,411;40,846;19,943;20,903;1,318;603;715;142,693;65,668;77,025;8,887;2,115;6,772;26,087;10,916;15,171;42,931;22,040;20,891;63,767;30,149;33,618;1,021;448;573;183,374;85,291;98,083;7,807;1,657;6,150;23,271;9,247;14,024;49,990;27,204;22,786;102,306;47,183;55,123
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;23,165;11,192;11,973;10,299;3,576;6,723;10,814;6,333;4,481;1,423;938;485;614;334;280;15;11;4;27,080;13,322;13,758;6,866;2,173;4,693;12,574;6,873;5,701;5,377;3,032;2,345;2,211;1,224;987;52;20;32;28,099;14,140;13,959;4,520;1,208;3,312;11,991;6,311;5,680;7,633;4,588;3,045;3,955;2,033;1,922
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;115,915;53,666;62,249;15,290;4,249;11,041;29,515;13,689;15,826;28,695;15,051;13,644;41,094;20,072;21,022;1,321;605;716;155,587;72,021;83,566;12,035;3,145;8,890;32,015;14,071;17,944;45,724;23,628;22,096;64,767;30,717;34,050;1,046;460;586;197,051;92,186;104,865;9,860;2,215;7,645;28,992;12,169;16,823;53,962;29,613;24,349;104,237;48,189;56,048
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;105,711;48,724;56,987;10,907;2,728;8,179;24,692;10,913;13,779;27,948;14,537;13,411;40,846;19,943;20,903;1,318;603;715;142,693;65,668;77,025;8,887;2,115;6,772;26,087;10,916;15,171;42,931;22,040;20,891;63,767;30,149;33,618;1,021;448;573;183,374;85,291;98,083;7,807;1,657;6,150;23,271;9,247;14,024;49,990;27,204;22,786;102,306;47,183;55,123
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;10,204;4,942;5,262;4,383;1,521;2,862;4,823;2,776;2,047;747;514;233;248;129;119;3;2;1;12,894;6,353;6,541;3,148;1,030;2,118;5,928;3,155;2,773;2,793;1,588;1,205;1,000;568;432;25;12;13;13,677;6,895;6,782;2,053;558;1,495;5,721;2,922;2,799;3,972;2,409;1,563;1,931;1,006;925
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;4,499;2,093;2,406;1,667;519;1,148;2,105;1,147;958;476;280;196;239;138;101;12;9;3;5,512;2,649;2,863;1,072;273;799;2,135;1,121;1,014;1,394;765;629;891;484;407;20;6;14;6,218;3,057;3,161;725;166;559;2,009;1,002;1,007;1,939;1,123;816;1,545;766;779
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;4,499;2,093;2,406;1,667;519;1,148;2,105;1,147;958;476;280;196;239;138;101;12;9;3;5,512;2,649;2,863;1,072;273;799;2,135;1,121;1,014;1,394;765;629;891;484;407;20;6;14;6,218;3,057;3,161;725;166;559;2,009;1,002;1,007;1,939;1,123;816;1,545;766;779
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;8,462;4,157;4,305;4,249;1,536;2,713;3,886;2,410;1,476;200;144;56;127;67;60;0;0;0;8,674;4,320;4,354;2,646;870;1,776;4,511;2,597;1,914;1,190;679;511;320;172;148;7;2;5;8,204;4,188;4,016;1,742;484;1,258;4,261;2,387;1,874;1,722;1,056;666;479;261;218
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;8,462;4,157;4,305;4,249;1,536;2,713;3,886;2,410;1,476;200;144;56;127;67;60;0;0;0;8,674;4,320;4,354;2,646;870;1,776;4,511;2,597;1,914;1,190;679;511;320;172;148;7;2;5;8,204;4,188;4,016;1,742;484;1,258;4,261;2,387;1,874;1,722;1,056;666;479;261;218
BOLIVIA: NIVEL DE INSTRUCCI?N ALCANZADO POR LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC) Y ?REA, CENSOS 2001, 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;12,246;5,873;6,373;6,227;2,051;4,176;5,077;3,250;1,827;570;364;206;366;204;162;6;4;2;12,625;6,301;6,324;4,198;1,279;2,919;5,675;3,455;2,220;1,706;999;707;1,032;560;472;14;8;6;14,888;7,414;7,474;3,504;1,162;2,342;5,677;3,262;2,415;3,806;2,061;1,745;1,901;929;972
