cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;2001_poblacion_total;2001_poblacion_hombres;2001_poblacion_mujeres;2001_promedio_anhos_estudio_total;2001_promedio_anhos_estudio_hombres;2001_promedio_anhos_estudio_mujeres;2012_poblacion_total;2012_poblacion_hombres;2012_poblacion_mujeres;2012_promedio_anhos_estudio_total;2012_promedio_anhos_estudio_hombres;2012_promedio_anhos_estudio_mujeres;2024_poblacion_total;2024_poblacion_hombres;2024_poblacion_mujeres;2024_promedio_anhos_estudio_total;2024_promedio_anhos_estudio_hombres;2024_promedio_anhos_estudio_mujeres
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2024;1;Pa¡s;;;;Bolivia;4,332,266;2,109,096;2,223,170;7.4;8.2;6.7;5,919,871;2,914,692;3,005,179;9.0;9.5;8.4;7,350,282;3,636,954;3,713,328;10.6;10.9;10.2
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2025;2;Pa¡s;;;;19 a 24 ;937,476;460,185;477,291;9.4;9.8;9.0;1,168,188;588,821;579,367;10.9;10.9;10.9;1,197,984;605,575;592,409;12.2;12.0;12.4
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2026;3;Pa¡s;;;;25 a 39 ;1,591,214;774,314;816,900;8.5;9.3;7.8;2,174,472;1,075,743;1,098,729;10.2;10.6;9.8;2,683,599;1,337,920;1,345,679;12.1;12.1;12.2
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2027;4;Pa¡s;;;;40 a 59 ;1,230,147;609,099;621,048;6.3;7.4;5.3;1,711,234;846,513;864,721;7.9;8.8;7.1;2,265,063;1,125,661;1,139,402;9.8;10.4;9.3
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2028;5;Pa¡s;;;;60 o m s ;573,429;265,498;307,931;3.4;4.4;2.6;865,977;403,615;462,362;5.2;6.2;4.3;1,203,636;567,798;635,838;6.8;8.0;5.7
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2029;6;Pa¡s;;;;Urbana;2,783,500;1,313,942;1,469,558;9.2;10.1;8.4;4,057,903;1,938,267;2,119,636;10.3;10.9;9.8;5,123,587;2,459,533;2,664,054;11.7;12.1;11.4
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2030;7;Pa¡s;;;;19 a 24 ;667,462;320,011;347,451;10.6;10.9;10.3;858,682;421,623;437,059;11.6;11.6;11.6;865,774;430,145;435,629;12.7;12.5;12.9
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2031;8;Pa¡s;;;;25 a 39 ;1,075,483;505,816;569,667;10.0;10.8;9.3;1,570,134;753,337;816,797;11.3;11.7;10.9;1,954,590;945,506;1,009,084;12.9;12.9;13.0
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2032;9;Pa¡s;;;;40 a 59 ;750,613;359,890;390,723;8.3;9.5;7.2;1,126,875;537,620;589,255;9.4;10.3;8.6;1,554,393;744,992;809,401;11.2;11.8;10.7
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2033;10;Pa¡s;;;;60 o m s ;289,942;128,225;161,717;5.5;6.9;4.4;502,212;225,687;276,525;6.9;8.2;5.9;748,830;338,890;409,940;8.6;9.8;7.5
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2034;11;Pa¡s;;;;Rural;1,548,766;795,154;753,612;4.2;5.2;3.1;1,861,968;976,425;885,543;6.0;6.8;5.1;2,226,695;1,177,421;1,049,274;7.9;8.5;7.1
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2035;12;Pa¡s;;;;19 a 24 ;270,014;140,174;129,840;6.6;7.3;5.8;309,506;167,198;142,308;8.9;9.1;8.7;332,210;175,430;156,780;11.0;11.0;11.0
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2036;13;Pa¡s;;;;25 a 39 ;515,731;268,498;247,233;5.4;6.4;4.4;604,338;322,406;281,932;7.4;8.0;6.6;729,009;392,414;336,595;10.0;10.2;9.7
BOLIVIA: A¥OS PROMEDIO DE ESTUDIO DE LA POBLACI?N DE 19 O M?S A¥OS DE EDAD POR SEXO, SEG?N DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO IND?GENA ORIGINARIO CAMPESINO (TIOC), ?REA Y GRUPO DE EDAD, CENSOS 2001, 2012 Y 2037;14;Pa¡s;;;;40 a 59 ;479,534;249,209;230,325;3.2;4.4;2.0;584,359;308,893;275,466;5.0;6.0;3.8;710,670;380,669;330,001;6.8;7.7;5.8
