cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2012_numero_total;2012_numero_argentina;2012_numero_espanha;2012_numero_brasil;2012_numero_chile;2012_numero_eeuu;2012_numero_otros_paises;2012_numero_sin_especificar;2012_porcentaje_argentina;2012_porcentaje_espanha;2012_porcentaje_brasil;2012_porcentaje_chile;2012_porcentaje_eeuu;2012_porcentaje_otros_paises;2012_porcentaje_sin_especificar;2024_numero__total;2024_numero__argentina;2024_numero__espanha;2024_numero__brasil;2024_numero__chile;2024_numero__eeuu;2024_numero__otros_paises;2024_numero__sin_especificar;2024_porcentaje_argentina;2024_porcentaje_espanha;2024_porcentaje_brasil;2024_porcentaje_chile;2024_porcentaje_eeuu;2024_porcentaje_otros_paises;2024_porcentaje_sin_especificar
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024 ;1;País;;;;Bolivia;437,160;170,138;109,889;60,504;27,089;17,534;34,675;17,331;38.9;25.1;13.8;6.2;4;7.9;4;329,047;82,033;33,106;62,424;109,420;16,597;21,489;3,978;24.9;10.1;19;33.3;5;6.5;1.2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2025;2;País;;;;Urbana;301,500;95,190;92,298;37,526;20,557;15,679;30,454;9,796;31.6;30.6;12.4;6.8;5.2;10.1;3.2;219,595;44,622;26,288;36,251;78,353;12,983;18,560;2,538;20.3;12;16.5;35.7;5.9;8.5;1.2
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2026;3;País;;;;Rural;135,660;74,948;17,591;22,978;6,532;1,855;4,221;7,535;55.2;13;16.9;4.8;1.4;3.1;5.6;109,452;37,411;6,818;26,173;31,067;3,614;2,929;1,440;34.2;6.2;23.9;28.4;3.3;2.7;1.3
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;28,394;18,362;4,935;1,390;1,569;245;1,078;815;64.7;17.4;4.9;5.5;0.9;3.8;2.9;25,134;9,705;2,008;2,495;9,479;467;758;222;38.6;8;9.9;37.7;1.9;3;0.9
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;13,331;6,771;3,499;624;1,133;209;875;220;50.8;26.2;4.7;8.5;1.6;6.6;1.7;12,391;3,509;1,422;1,024;5,377;341;618;100;28.3;11.5;8.3;43.4;2.8;5;0.8
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;15,063;11,591;1,436;766;436;36;203;595;77;9.5;5.1;2.9;0.2;1.3;4;12,743;6,196;586;1,471;4,102;126;140;122;48.6;4.6;11.5;32.2;1;1.1;1
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;14,522;7,731;3,517;703;1,220;201;856;294;53.2;24.2;4.8;8.4;1.4;5.9;2;12,958;3,427;1,507;1,084;5,869;373;601;97;26.4;11.6;8.4;45.3;2.9;4.6;0.7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;11,705;5,839;3,069;554;1,059;195;807;182;49.9;26.2;4.7;9;1.7;6.9;1.6;10,205;2,628;1,268;790;4,574;308;558;79;25.8;12.4;7.7;44.8;3;5.5;0.8
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;2,817;1,892;448;149;161;6;49;112;67.2;15.9;5.3;5.7;0.2;1.7;4;2,753;799;239;294;1,295;65;43;18;29;8.7;10.7;47;2.4;1.6;0.7
BOLIVIA: EMIGRANTES DECLARADOS POR PAÍS DE DESTINO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;13,154;6,729;3,317;669;1,152;197;833;257;51.2;25.2;5.1;8.8;1.5;6.3;2;11,657;2,963;1,414;941;5,333;337;585;84;25.4;12.1;8.1;45.7;2.9;5;0.7
