cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_edad;area_;2012_numero_total;2012_numero_hombre;2012_numero_mujer;2012_porcentaje_total;2012_porcentaje_hombre;2012_porcentaje_mujer;2024_numero_total;2024_numero_hombre;2024_numero_mujer;2024_numero_sin_especificar;2024_porcentaje_total;2024_porcentaje_hombre;2024_porcentaje_mujer;2024_porcentaje_sin_especificar
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2024 ;1;País;;;;Bolivia;Bolivia;437160;213587;223573;100;100;100;329047;165517;163029;501;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2025;2;País;;;;0 a 17;Bolivia;60225;29966;30259;13.8;14;13.5;42053;21234;20705;114;12.8;12.8;12.7;22.8
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2026;3;País;;;;18 a 29;Bolivia;247809;123378;124431;56.7;57.8;55.7;173019;88135;84660;224;52.6;53.2;51.9;44.7
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2027;4;País;;;;30 a 59;Bolivia;112026;52410;59616;25.6;24.5;26.7;95898;47858;47961;79;29.1;28.9;29.4;15.8
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2028;5;País;;;;60 o más;Bolivia;6234;2771;3463;1.4;1.3;1.5;5997;2555;3435;7;1.8;1.5;2.1;1.4
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2029;6;País;;;;Sin especificar;Bolivia;10866;5062;5804;2.5;2.4;2.6;12080;5735;6268;77;3.7;3.5;3.8;15.4
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2030;7;País;;;;Urbana;Urbana;301500;141922;159578;100;100;100;219595;107514;111825;256;100;100;100;100
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2031;8;País;;;;0 a 17;Urbana;38704;19299;19405;12.8;13.6;12.2;27578;13902;13614;62;12.6;12.9;12.2;24.2
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2032;9;País;;;;18 a 29;Urbana;161521;77419;84102;53.6;54.6;52.7;107555;53436;54022;97;49;49.7;48.3;37.9
BOLIVIA: EMIGRANTES DECLARADOS POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2033;10;País;;;;30 a 59;Urbana;88619;39641;48978;29.4;27.9;30.7;70876;34137;36697;42;32.3;31.8;32.8;16.4
