cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2001_total_hogares_;2001_vehículo_automotor_tiene;2001_vehículo_automotor_no_tiene;2001_bicicleta_tiene;2001_bicicleta_no_tiene;2001_motocicleta_o_cuatratrack_tiene;2001_motocicleta_o_cuatratrack_no_tiene;2012_total_hogares;2012_vehículo_automotor_tiene;2012_vehículo_automotor_no_tiene;2012_bicicleta_tiene;2012_bicicleta_no_tiene;2012_motocicleta_o_cuatratrack_tiene;2012_motocicleta_o_cuatratrack_no_tiene;2012_carreta_o_carreton_tiene;2012_carreta_o_carreton_no_tiene;2012_deslizador_balsa_canoa_o_bote_tiene;2012_deslizador_balsa_canoa_o_bote_no_tiene;2024_total_hogares_;2024_vehículo_automotor_tiene;2024_vehículo_automotor_no_tiene;2024_vehículo_automotor_sin_especificar;2024_bicicleta_tiene;2024_bicicleta_no_tiene;2024_bicicleta_sin_especificar;2024_motocicleta_o_cuatratrack_tiene;2024_motocicleta_o_cuatratrack_no_tiene;2024_motocicleta_o_cuatratrack_sin_especificar;2024_carreta_o_carreton_tiene;2024_carreta_o_carreton_no_tiene;2024_carreta_o_carreton_sin_especificar;2024_deslizador_balsa_canoa_o_bote_tiene;2024_deslizador_balsa_canoa_o_bote_no_tiene;2024_deslizador_balsa_canoa_o_bote_sin_especificar
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;1,977,665;250,298;1,727,367;741,690;1,235,975;71,144;1,906,521;2,803,982;614,383;2,189,599;854,404;1,949,578;319,813;2,484,169;112,619;2,691,363;23,826;2,780,156;3,623,711;1,055,352;2,440,563;127,796;1,298,053;2,199,365;126,293;783,765;2,712,536;127,410;133,184;3,362,463;128,064;47,605;3,447,876;128,230
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2025;2;País;;;;Urbana;1,210,962;217,813;993,149;476,005;734,957;55,906;1,155,056;1,826,480;494,917;1,331,563;573,325;1,253,155;217,206;1,609,274;59,609;1,766,871;6,882;1,819,598;2,386,919;806,020;1,507,532;73,367;990,525;1,323,447;72,947;504,242;1,809,439;73,238;52,455;2,260,981;73,483;26,396;2,286,977;73,546
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2026;3;País;;;;Rural;766,703;32,485;734,218;265,685;501,018;15,238;751,465;977,502;119,466;858,036;281,079;696,423;102,607;874,895;53,010;924,492;16,944;960,558;1,236,792;249,332;933,031;54,429;307,528;875,918;53,346;279,523;903,097;54,172;80,729;1,101,482;54,581;21,209;1,160,899;54,684
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;118,918;11,601;107,317;33,054;85,864;2,557;116,361;150,081;26,571;123,510;32,774;117,307;11,183;138,898;2,321;147,760;326;149,755;184,969;48,187;130,028;6,754;49,788;128,513;6,668;36,600;141,647;6,722;5,625;172,574;6,770;1,573;176,620;6,776
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;50,517;9,821;40,696;17,090;33,427;2,026;48,491;74,401;20,608;53,793;17,119;57,282;8,375;66,026;980;73,421;151;74,250;102,961;36,783;63,403;2,775;35,783;64,415;2,763;22,681;77,511;2,769;2,472;97,711;2,778;1,077;99,103;2,781
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;68,401;1,780;66,621;15,964;52,437;531;67,870;75,680;5,963;69,717;15,655;60,025;2,808;72,872;1,341;74,339;175;75,505;82,008;11,404;66,625;3,979;14,005;64,098;3,905;13,919;64,136;3,953;3,153;74,863;3,992;496;77,517;3,995
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;56,073;9,238;46,835;16,213;39,860;1,732;54,341;77,255;19,931;57,324;15,302;61,953;7,212;70,043;825;76,430;145;77,110;100,241;34,491;62,802;2,948;31,055;66,269;2,917;18,940;78,365;2,936;2,276;95,013;2,952;995;96,292;2,954
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;44,815;8,985;35,830;14,745;30,070;1,698;43,117;63,108;18,429;44,679;13,486;49,622;7,024;56,084;643;62,465;121;62,987;84,913;32,052;50,773;2,088;29,104;53,733;2,076;17,694;65,137;2,082;1,627;81,196;2,090;904;81,918;2,091
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;11,258;253;11,005;1,468;9,790;34;11,224;14,147;1,502;12,645;1,816;12,331;188;13,959;182;13,965;24;14,123;15,328;2,439;12,029;860;1,951;12,536;841;1,246;13,228;854;649;13,817;862;91;14,374;863
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;49,756;9,069;40,687;15,491;34,265;1,709;48,047;69,949;19,246;50,703;14,494;55,455;7,097;62,852;743;69,206;138;69,811;92,531;33,362;56,637;2,532;30,060;59,956;2,515;18,270;71,734;2,527;2,013;87,983;2,535;958;89,036;2,537
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;44,815;8,985;35,830;14,745;30,070;1,698;43,117;63,108;18,429;44,679;13,486;49,622;7,024;56,084;643;62,465;121;62,987;84,913;32,052;50,773;2,088;29,104;53,733;2,076;17,694;65,137;2,082;1,627;81,196;2,090;904;81,918;2,091
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;4,941;84;4,857;746;4,195;11;4,930;6,841;817;6,024;1,008;5,833;73;6,768;100;6,741;17;6,824;7,618;1,310;5,864;444;956;6,223;439;576;6,597;445;386;6,787;445;54;7,118;446
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;2,204;154;2,050;608;1,596;15;2,189;2,646;567;2,079;591;2,055;87;2,559;43;2,603;4;2,642;3,056;962;1,959;135;810;2,112;134;326;2,596;134;139;2,783;134;25;2,895;136
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;2,204;154;2,050;608;1,596;15;2,189;2,646;567;2,079;591;2,055;87;2,559;43;2,603;4;2,642;3,056;962;1,959;135;810;2,112;134;326;2,596;134;139;2,783;134;25;2,895;136
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;4,113;15;4,098;114;3,999;8;4,105;4,660;118;4,542;217;4,443;28;4,632;39;4,621;3;4,657;4,654;167;4,206;281;185;4,201;268;344;4,035;275;124;4,247;283;12;4,361;281
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;4,113;15;4,098;114;3,999;8;4,105;4,660;118;4,542;217;4,443;28;4,632;39;4,621;3;4,657;4,654;167;4,206;281;185;4,201;268;344;4,035;275;124;4,247;283;12;4,361;281
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;5,611;24;5,587;348;5,263;6;5,605;5,956;171;5,785;532;5,424;115;5,841;43;5,913;7;5,949;7,048;365;6,234;449;749;5,860;439;1,110;5,491;447;137;6,463;448;28;6,572;448
BOLIVIA: HOGARES POR TENENCIA DE MEDIOS DE TRANSPORTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
