cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_total_hogares_;numero_de_viviendas_refrigerador_o_congelador_tiene;numero_de_viviendas_refrigerador_o_congelador_no_tiene;numero_de_viviendas_refrigerador_o_congelador_sin_especificar;numero_de_viviendas_microondas_tiene;numero_de_viviendas_microondas_no_tiene;numero_de_viviendas_microondas_sin_especificar;numero_de_viviendas_calefon_o_termotanque_tiene;numero_de_viviendas_calefon_o_termotanque_no_tiene;numero_de_viviendas_calefon_o_termotanque_sin_especificar;numero_de_viviendas_aire_acondicionado_tiene;numero_de_viviendas_aire_acondicionado_no_tiene;numero_de_viviendas_aire_acondicionado_sin_especificar;numero_de_viviendas_lavadora_de_ropa_tiene;numero_de_viviendas_lavadora_de_ropa_no_tiene;numero_de_viviendas_lavadora_de_ropa_sin_especificar
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024 ;1;País;;;;Bolivia;3,623,711;1,925,507;1,569,908;128,296;682,364;2,813,094;128,253;273,418;3,221,975;128,318;228,075;3,267,313;128,323;930,639;2,564,741;128,331
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2025;2;País;;;;Urbana;2,386,919;1,656,792;656,551;73,576;650,140;1,663,203;73,576;254,932;2,058,406;73,581;216,010;2,097,333;73,576;877,487;1,435,861;73,571
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2026;3;País;;;;Rural;1,236,792;268,715;913,357;54,720;32,224;1,149,891;54,677;18,486;1,163,569;54,737;12,065;1,169,980;54,747;53,152;1,128,880;54,760
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2027;4;Departamento;Chuquisaca;;;Chuquisaca;184,969;91,647;86,524;6,798;32,912;145,272;6,785;13,472;164,700;6,797;1,687;176,485;6,797;39,711;138,459;6,799
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2028;5;Departamento;Chuquisaca;;;Urbana;102,961;74,267;25,913;2,781;31,016;69,164;2,781;12,663;87,517;2,781;1,352;98,827;2,782;37,000;63,179;2,782
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2029;6;Departamento;Chuquisaca;;;Rural;82,008;17,380;60,611;4,017;1,896;76,108;4,004;809;77,183;4,016;335;77,658;4,015;2,711;75,280;4,017
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;100,241;67,400;29,882;2,959;29,253;68,031;2,957;12,276;85,007;2,958;1,155;96,125;2,961;33,824;63,457;2,960
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;84,913;63,704;19,117;2,092;28,704;54,117;2,092;12,071;70,750;2,092;1,091;81,729;2,093;33,303;49,517;2,093
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;15,328;3,696;10,765;867;549;13,914;865;205;14,257;866;64;14,396;868;521;13,940;867
BOLIVIA: HOGARES POR TENENCIA DE ELECTRODOMÉSTICOS Y ARTEFACTOS, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;92,531;65,544;24,448;2,539;28,900;61,093;2,538;12,138;77,854;2,539;1,127;88,863;2,541;33,461;56,530;2,540
