cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo;2021_poblacion_2001;2021_poblacion_1996;2021_no_migrantes;2021_porcentaje_de_no_migrantes_;2021_inmigrantes_1996-2001;2021_porcentaje_de_inmigrantes_recientes;2021_emigrantes_1996-2001;2021_porcentaje_de_emigrantes_recientes;2021_migracion_neta;2021_migracion_bruta;2021_tasa_de_inmigracion;2021_tasa_de_emigracion;2021_tasa_de_migracion_neta;2021_indice_de_eficacia_migratoria;2001_poblacion_2001;2001_poblacion_2007;2001_no_migrantes;2001_porcentaje_de_no_migrantes_;2001_inmigrantes_2007-2001;2001_porcentaje_de_inmigrantes_recientes;2001_emigrantes_2007-2001;2001_porcentaje_de_emigrantes_recientes;2001_migracion_neta;2001_migracion_bruta;2001_tasa_de_inmigracion;2001_tasa_de_emigracion;2001_tasa_de_migracion_neta;2001_indice_de_eficacia_migratoria;2024_poblacion_2024;2024_poblacion_2019;2024_no_migrantes;2024_porcentaje_de_no_migrantes_;2024_inmigrantes_2019-2024;2024_porcentaje_de_inmigrantes_recientes;2024_emigrantes_2019-2024;2024_porcentaje_de_emigrantes_recientes;2024_migracion_neta;2024_migracion_bruta;2024_tasa_de_inmigracion;2024_tasa_de_emigracion;2024_tasa_de_migracion_neta;2024_indice_de_eficacia_migratoria;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;País;;;;Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;País;;;;Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;Departamento;Chuquisaca;;;Chuquisaca;452188.00;466600.00;421896.00;6.30;30292.00;7.10;44704.00;10.50;-14412.00;74996.00;13.20;19.50;-6.30;-0.20;509190.00;523681.00;481608.00;5.70;27582.00;7.70;42073.00;11.70;-14491.00;69655.00;10.70;16.30;-5.60;-0.20;549662.00;560344.00;518701.00;5.30;30961.00;7.90;41643.00;10.60;-10682.00;72604.00;11.20;15.00;-3.80;-0.10;;
;5;Departamento;Chuquisaca;;;Hombres;220470.00;226665.00;204889.00;6.20;15581.00;7.10;21776.00;9.90;-6195.00;37357.00;13.90;19.50;-5.50;-0.20;249371.00;256241.00;235291.00;5.60;14080.00;7.40;20950.00;11.00;-6870.00;35030.00;11.10;16.60;-5.40;-0.20;270841.00;276038.00;255014.00;5.20;15827.00;7.60;21024.00;10.10;-5197.00;36851.00;11.60;15.40;-3.80;-0.10;;
;6;Departamento;Chuquisaca;;;Mujeres;231718.00;239935.00;217007.00;6.40;14711.00;7.20;22928.00;11.20;-8217.00;37639.00;12.50;19.40;-7.00;-0.20;259819.00;267440.00;246317.00;5.80;13502.00;8.00;21123.00;12.40;-7621.00;34625.00;10.20;16.00;-5.80;-0.20;278821.00;284306.00;263687.00;5.40;15134.00;8.20;20619.00;11.20;-5485.00;35753.00;10.70;14.60;-3.90;-0.20;;
;7;Provincia;Chuquisaca;Oropeza;;Oropeza;206773.00;200524.00;176983.00;2.80;29790.00;4.20;23541.00;3.30;6249.00;53331.00;29.30;23.10;6.10;0.10;255842.00;256441.00;229848.00;2.80;25994.00;4.30;26593.00;4.40;-599.00;52587.00;20.30;20.80;-0.50;0.00;285658.00;286504.00;268503.00;2.90;17155.00;3.10;18001.00;3.30;-846.00;35156.00;12.00;12.60;-0.60;0.00;;
;8;Provincia;Chuquisaca;Oropeza;;Hombres;98575.00;95576.00;84166.00;2.70;14409.00;3.90;11410.00;3.10;2999.00;25819.00;29.70;23.50;6.20;0.10;122210.00;122697.00;109559.00;2.70;12651.00;4.00;13138.00;4.10;-487.00;25789.00;20.70;21.50;-0.80;0.00;136802.00;137396.00;128415.00;2.80;8387.00;2.90;8981.00;3.10;-594.00;17368.00;12.20;13.10;-0.90;0.00;;
;9;Provincia;Chuquisaca;Oropeza;;Mujeres;108198.00;104948.00;92817.00;2.90;15381.00;4.50;12131.00;3.50;3250.00;27512.00;28.90;22.80;6.10;0.10;133632.00;133744.00;120289.00;2.90;13343.00;4.70;13455.00;4.70;-112.00;26798.00;20.00;20.10;-0.20;0.00;148856.00;149108.00;140088.00;3.00;8768.00;3.30;9020.00;3.40;-252.00;17788.00;11.80;12.10;-0.30;0.00;;
;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;182441.00;175766.00;154136.00;2.50;28305.00;3.80;21630.00;2.90;6675.00;49935.00;31.60;24.20;7.50;0.10;233769.00;233203.00;207371.00;2.50;26398.00;4.00;25832.00;3.90;566.00;52230.00;22.60;22.10;0.50;0.00;266518.00;267197.00;249283.00;2.70;17235.00;2.60;17914.00;2.70;-679.00;35149.00;12.90;13.40;-0.50;0.00;;
;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Hombres;86444.00;83324.00;72873.00;2.40;13571.00;3.60;10451.00;2.70;3120.00;24022.00;32.00;24.60;7.40;0.10;111169.00;111114.00;98364.00;2.40;12805.00;3.70;12750.00;3.70;55.00;25555.00;23.00;22.90;0.10;0.00;127134.00;127697.00;118731.00;2.60;8403.00;2.50;8966.00;2.60;-563.00;17369.00;13.20;14.10;-0.90;0.00;;
;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Mujeres;95997.00;92442.00;81263.00;2.50;14734.00;4.10;11179.00;3.10;3555.00;25913.00;31.30;23.70;7.50;0.10;122600.00;122089.00;109007.00;2.60;13593.00;4.30;13082.00;4.10;511.00;26675.00;22.20;21.40;0.80;0.00;139384.00;139500.00;130552.00;2.80;8832.00;2.80;8948.00;2.90;-116.00;17780.00;12.70;12.80;-0.20;0.00;;
;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;7891.00;8177.00;7293.00;0.10;598.00;0.10;884.00;0.10;-286.00;1482.00;14.90;22.00;-7.10;-0.20;8017.00;8159.00;7493.00;0.10;524.00;0.10;666.00;0.10;-142.00;1190.00;13.00;16.50;-3.50;-0.10;7718.00;7456.00;7067.00;0.10;651.00;0.10;389.00;0.10;262.00;1040.00;17.20;10.30;6.90;0.30;;
;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Hombres;3869.00;3957.00;3536.00;0.10;333.00;0.10;421.00;0.10;-88.00;754.00;17.00;21.50;-4.50;-0.10;3976.00;4008.00;3680.00;0.10;296.00;0.10;328.00;0.10;-32.00;624.00;14.80;16.40;-1.60;-0.10;3827.00;3659.00;3461.00;0.10;366.00;0.10;198.00;0.10;168.00;564.00;19.60;10.60;9.00;0.30;;
;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Mujeres;4022.00;4220.00;3757.00;0.10;265.00;0.10;463.00;0.10;-198.00;728.00;12.90;22.50;-9.60;-0.30;4041.00;4151.00;3813.00;0.10;228.00;0.10;338.00;0.10;-110.00;566.00;11.10;16.50;-5.40;-0.20;3891.00;3797.00;3606.00;0.10;285.00;0.10;191.00;0.10;94.00;476.00;14.80;9.90;4.90;0.20;;
;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;14207.00;14994.00;13861.00;0.20;346.00;0.00;1133.00;0.20;-787.00;1479.00;4.70;15.50;-10.80;-0.50;14056.00;15079.00;13796.00;0.20;260.00;0.00;1283.00;0.20;-1023.00;1543.00;3.60;17.60;-14.00;-0.70;11422.00;11851.00;11048.00;0.10;374.00;0.10;803.00;0.10;-429.00;1177.00;6.40;13.80;-7.40;-0.40;;
;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Hombres;7097.00;7474.00;6919.00;0.20;178.00;0.00;555.00;0.10;-377.00;733.00;4.90;15.20;-10.30;-0.50;7065.00;7575.00;6920.00;0.20;145.00;0.00;655.00;0.20;-510.00;800.00;4.00;17.90;-13.90;-0.60;5841.00;6040.00;5645.00;0.10;196.00;0.10;395.00;0.10;-199.00;591.00;6.60;13.30;-6.70;-0.30;;
