cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo_y_grupo_de_edad;2012_argentina;2012_brasil;2012_peru;2012_espanha;2012_chile;2012_mexico;2012_otros_paises;2012_sin_especificar;2012_total;2024_argentina;2024_brasil;2024_peru;2024_espanha;2024_chile;2024_mexico;2024_otros_paises;2024_sin_especificar;2024_total
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2024;1;País;;;;Bolivia;36230.00;22013.00;9332.00;10242.00;3752.00;8400.00;26195.00;2869.00;119033.00;58886.00;28399.00;17541.00;12067.00;9320.00;7114.00;38776.00;2914.00;175017.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2025;2;País;;;;0 a 17;23238.00;5919.00;775.00;8361.00;875.00;506.00;6206.00;950.00;46830.00;33673.00;13081.00;2073.00;9105.00;5443.00;238.00;6987.00;966.00;71566.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2026;3;País;;;;18 a 29;5481.00;8616.00;2747.00;298.00;568.00;1035.00;5659.00;622.00;25026.00;13237.00;6631.00;6511.00;1774.00;1058.00;513.00;7948.00;577.00;38249.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2027;4;País;;;;30 a 59;6305.00;6693.00;4962.00;1002.00;1620.00;5285.00;11087.00;1086.00;38040.00;9788.00;7347.00;7056.00;706.00;1889.00;4036.00;19152.00;1039.00;51013.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2028;5;País;;;;60 o más;1206.00;785.00;848.00;581.00;689.00;1574.00;3243.00;211.00;9137.00;2188.00;1340.00;1901.00;482.00;930.00;2327.00;4689.00;332.00;14189.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2029;6;País;;;;Hombres;18431.00;11460.00;5369.00;5440.00;1976.00;4103.00;13933.00;1504.00;62216.00;30400.00;14333.00;9523.00;6361.00;4950.00;3575.00;21652.00;1531.00;92325.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2030;7;País;;;;0 a 17;11867.00;3050.00;405.00;4323.00;445.00;264.00;3175.00;513.00;24042.00;17221.00;6712.00;971.00;4668.00;2754.00;133.00;3618.00;493.00;36570.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2031;8;País;;;;18 a 29;2721.00;4461.00;1437.00;142.00;329.00;510.00;2965.00;316.00;12881.00;6901.00;3195.00;3059.00;905.00;576.00;278.00;4441.00;277.00;19632.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2032;9;País;;;;30 a 59;3264.00;3522.00;3032.00;642.00;867.00;2590.00;6037.00;567.00;20521.00;5242.00;3742.00;4318.00;475.00;1134.00;2042.00;11084.00;594.00;28631.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), SEXO Y GRUPO DE EDAD , CENSOS 2012 Y 2033;10;País;;;;60 o más;579.00;427.00;495.00;333.00;335.00;739.00;1756.00;108.00;4772.00;1036.00;684.00;1175.00;313.00;486.00;1122.00;2509.00;167.00;7492.00
