cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo;2001_poblacion_2001;2001_poblacion_antigua;2001_no_migrantes;2001_porcentaje_de_no_migrantes_;2001_inmigrantes;2001_porcentaje_de_inmigrantes_de_toda_la_vida;2001_emigrantes;2001_porcentaje_de_emigrantes_de_toda_la_vida;2001_migracion_neta;2001_migracion_bruta;2012_poblacion_2012;2012_poblacion_antigua;2012_no_migrantes;2012_porcentaje_de_no_migrantes_;2012_inmigrantes;2012_porcentaje_de_inmigrantes_de_toda_la_vida;2012_emigrantes;2012_porcentaje_de_emigrantes_de_toda_la_vida;2012_migracion_neta;2012_migracion_bruta;2024_poblacion_2024;2024_poblacion_antigua;2024_no_migrantes;2024_porcentaje_de_no_migrantes_;2024_inmigrantes;2024_porcentaje_de_inmigrantes_de_toda_la_vida;2024_emigrantes;2024_porcentaje_de_emigrantes_de_toda_la_vida;2024_migracion_neta;2024_migracion_bruta
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2025;2;País;;;;Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2026;3;País;;;;Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;528424.00;621583.00;457638.00;6.60;70786.00;5.70;163945.00;13.20;-93159.00;234731.00;575298.00;687580.00;495523.00;5.80;79775.00;5.90;192057.00;14.10;-112282.00;271832.00;590950.00;743289.00;490568.00;5.30;100382.00;5.70;252721.00;14.40;-152339.00;353103.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Hombres;259355.00;304051.00;224443.00;6.50;34912.00;5.70;79608.00;12.90;-44696.00;114520.00;283018.00;337281.00;243898.00;5.70;39120.00;5.70;93383.00;13.70;-54263.00;132503.00;291808.00;365773.00;243166.00;5.30;48642.00;5.60;122607.00;14.10;-73965.00;171249.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Mujeres;269069.00;317532.00;233195.00;6.70;35874.00;5.80;84337.00;13.50;-48463.00;120211.00;292280.00;350299.00;251625.00;5.90;40655.00;6.00;98674.00;14.50;-58019.00;139329.00;299142.00;377516.00;247402.00;5.40;51740.00;5.80;130114.00;14.60;-78374.00;181854.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;235531.00;224284.00;160648.00;2.70;74883.00;3.50;63636.00;3.00;11247.00;138519.00;286288.00;284613.00;206597.00;2.70;79691.00;3.80;78016.00;3.70;1675.00;157707.00;295406.00;290480.00;213680.00;2.90;81726.00;2.90;76800.00;2.70;4926.00;158526.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Hombres;113258.00;109001.00;78207.00;2.60;35051.00;3.30;30794.00;2.90;4257.00;65845.00;137728.00;137978.00;100271.00;2.60;37457.00;3.60;37707.00;3.60;-250.00;75164.00;142717.00;142332.00;104864.00;2.80;37853.00;2.70;37468.00;2.70;385.00;75321.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Mujeres;122273.00;115283.00;82441.00;2.80;39832.00;3.70;32842.00;3.10;6990.00;72674.00;148560.00;146635.00;106326.00;2.70;42234.00;4.00;40309.00;3.80;1925.00;82543.00;152689.00;148148.00;108816.00;2.90;43873.00;3.10;39332.00;2.80;4541.00;83205.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA DE TODA LA VIDA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIOPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;203089.00;187884.00;132899.00;2.30;70190.00;3.30;54985.00;2.60;15205.00;125175.00;259084.00;250427.00;180670.00;2.40;78414.00;3.60;69757.00;3.20;8657.00;148171.00;263523.00;249500.00;191339.00;2.70;72184.00;2.80;58161.00;2.30;14023.00;130345.00
