cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;area;2012_argentina;2012_brasil;2012_peru;2012_espanha;2012_chile;2012_mexico;2012_otros_paises;2012_sin_especificar;2012_total;2024_argentina;2024_brasil;2024_peru;2024_espanha;2024_chile;2024_mexico;2024_otros_paises;2024_sin_especificar;2024_total
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2024;1;País;;;;Bolivia;36230.00;22013.00;9332.00;10242.00;3752.00;8400.00;26195.00;2869.00;119033.00;58886.00;28399.00;17541.00;12067.00;9320.00;7114.00;38776.00;2914.00;175017.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2025;2;País;;;;Urbana;28356.00;19123.00;8715.00;9243.00;3342.00;1034.00;20480.00;2114.00;92407.00;45143.00;23215.00;15847.00;11035.00;7073.00;1098.00;30808.00;1849.00;136068.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2026;3;País;;;;Rural;7874.00;2890.00;617.00;999.00;410.00;7366.00;5715.00;755.00;26626.00;13743.00;5184.00;1694.00;1032.00;2247.00;6016.00;7968.00;1065.00;38949.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;2925.00;187.00;207.00;395.00;67.00;31.00;612.00;121.00;4545.00;4803.00;358.00;221.00;430.00;312.00;25.00;707.00;117.00;6973.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;1798.00;153.00;191.00;334.00;66.00;28.00;531.00;70.00;3171.00;3035.00;266.00;205.00;366.00;230.00;24.00;581.00;48.00;4755.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;1127.00;34.00;16.00;61.00;1.00;3.00;81.00;51.00;1374.00;1768.00;92.00;16.00;64.00;82.00;1.00;126.00;69.00;2218.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;1741.00;144.00;195.00;319.00;60.00;29.00;496.00;70.00;3054.00;2731.00;224.00;186.00;349.00;210.00;24.00;569.00;50.00;4343.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;1591.00;140.00;190.00;309.00;59.00;28.00;477.00;63.00;2857.00;2529.00;208.00;181.00;335.00;192.00;24.00;527.00;40.00;4036.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;150.00;4.00;5.00;10.00;1.00;1.00;19.00;7.00;197.00;202.00;16.00;5.00;14.00;18.00;;42.00;10.00;307.00
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSOS 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;1636.00;144.00;193.00;314.00;59.00;29.00;485.00;65.00;2925.00;2592.00;218.00;182.00;338.00;199.00;24.00;552.00;46.00;4151.00
