cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;edad;area;2012_argentina;2012_brasil;2012_peru;2012_espanha;2012_chile;2012_mexico;2012_otros_paises;2012_sin_especificar;2012_total;2024_argentina;2024_brasil;2024_peru;2024_espanha;2024_chile;2024_mexico;2024_otros_paises;2024_sin_especificar;2024_total
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2024;1;País;;;;Bolivia;Bolivia;36230;22013;9332;10242;3752;8400;26195;2869;119033;58886;28399;17541;12067;9320;7114;38776;2914;175017
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2024;2;País;;;;0 a 17;Bolivia;23238;5919;775;8361;875;506;6206;950;46830;33673;13081;2073;9105;5443;238;6987;966;71566
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2025;3;País;;;;18 a 29;Bolivia;5481;8616;2747;298;568;1035;5659;622;25026;13237;6631;6511;1774;1058;513;7948;577;38249
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2026;4;País;;;;30 a 59;Bolivia;6305;6693;4962;1002;1620;5285;11087;1086;38040;9788;7347;7056;706;1889;4036;19152;1039;51013
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2027;5;País;;;;60 o más;Bolivia;1206;785;848;581;689;1574;3243;211;9137;2188;1340;1901;482;930;2327;4689;332;14189
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2028;6;País;;;;Urbana;Urbana;28356;19123;8715;9243;3342;1034;20480;2114;92407;45143;23215;15847;11035;7073;1098;30808;1849;136068
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2029;7;País;;;;0 a 17;Urbana;17218;4765;697;7469;653;181;5074;618;36675;24030;9775;1801;8239;3764;188;5748;561;54106
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2030;8;País;;;;18 a 29;Urbana;4541;8118;2570;284;530;199;4282;496;21020;10882;6029;6114;1664;816;185;6495;384;32569
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2031;9;País;;;;30 a 59;Urbana;5534;5630;4655;942;1507;566;8551;833;28218;8317;6354;6177;669;1617;604;14999;692;39429
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2032;10;País;;;;60 o más;Urbana;1063;610;793;548;652;88;2573;167;6494;1914;1057;1755;463;876;121;3566;212;9964
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2033;11;País;;;;Rural;Rural;7874;2890;617;999;410;7366;5715;755;26626;13743;5184;1694;1032;2247;6016;7968;1065;38949
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2034;12;País;;;;0 a 17;Rural;6020;1154;78;892;222;325;1132;332;10155;9643;3306;272;866;1679;50;1239;405;17460
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2035;13;País;;;;18 a 29;Rural;940;498;177;14;38;836;1377;126;4006;2355;602;397;110;242;328;1453;193;5680
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2036;14;País;;;;30 a 59;Rural;771;1063;307;60;113;4719;2536;253;9822;1471;993;879;37;272;3432;4153;347;11584
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2037;15;País;;;;60 o más;Rural;143;175;55;33;37;1486;670;44;2643;274;283;146;19;54;2206;1123;120;4225
Bolivia: INMIGRANTES INTERNACIONALES POR PAÍS DE NACIMIENTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD , CENSOS 2012 Y 2038;16;Departamento;Chuquisaca;;;Chuquisaca;Chuquisaca;2925;187;207;395;67;31;612;121;4545;4803;358;221;430;312;25;707;117;6973
