cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;total_total;total_hombres;total_mujeres;total_sin_especificar;2019_total;2019_hombres;2019_mujeres;2019_sin_especificar;2020_total;2020_hombres;2020_mujeres;2020_sin_especificar;2021_total;2021_hombres;2021_mujeres;2021_sin_especificar;2022_total;2022_hombres;2022_mujeres;2022_sin_especificar;2023_total;2023_hombres;2023_mujeres;2023_sin_especificar;2024_total;2024_hombres;2024_mujeres;2024_sin_especificar;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);1;País;;;;Bolivia;351,815;197,384;153,947;484;56,408;31,469;24,861;78;77,750;46,233;31,412;105;78,869;45,256;33,489;124;65,032;35,356;29,588;88;73,756;39,070;34,597;89;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);2;País;;;;0 a 17;21,108;12,044;8,994;70;3,871;2,174;1,683;14;3,889;2,220;1,660;9;3,982;2,297;1,667;18;4,124;2,326;1,787;11;5,242;3,027;2,197;18;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);3;País;;;;18 a 29;19,274;12,851;6,410;13;3,572;2,431;1,139;2;3,610;2,394;1,215;1;3,883;2,531;1,347;5;3,680;2,434;1,243;3;4,529;3,061;1,466;2;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);4;País;;;;30 a 59;88,917;54,055;34,820;42;14,530;8,553;5,971;6;19,921;12,532;7,382;7;21,071;13,026;8,037;8;15,399;9,284;6,103;12;17,996;10,660;7,327;9;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);5;País;;;;60 o más;211,268;112,227;98,919;122;32,449;17,214;15,221;14;47,780;27,615;20,129;36;47,454;26,025;21,401;28;39,832;20,217;19,592;23;43,753;21,156;22,576;21;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);6;País;;;;Sin especificar;11,248;6,207;4,804;237;1,986;1,097;847;42;2,550;1,472;1,026;52;2,479;1,377;1,037;65;1,997;1,095;863;39;2,236;1,166;1,031;39;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);7;País;;;;Urbana;231,344;128,862;102,197;285;36,908;20,461;16,398;49;53,344;31,672;21,597;75;53,529;30,455;23,010;64;41,782;22,392;19,344;46;45,781;23,882;21,848;51;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);8;País;;;;0 a 17;11,943;6,826;5,077;40;2,243;1,240;995;8;2,268;1,290;972;6;2,321;1,339;971;11;2,236;1,275;957;4;2,875;1,682;1,182;11;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);9;País;;;;18 a 29;11,752;7,788;3,955;9;2,255;1,541;712;2;2,269;1,489;779;1;2,346;1,510;834;2;2,197;1,441;754;2;2,685;1,807;876;2;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);10;País;;;;30 a 59;61,992;37,665;24,299;28;9,931;5,856;4,070;5;14,505;9,158;5,341;6;15,161;9,427;5,731;3;10,552;6,286;4,258;8;11,843;6,938;4,899;6;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);11;País;;;;60 o más;139,441;73,174;66,193;74;21,361;11,207;10,142;12;32,785;18,863;13,901;21;32,286;17,378;14,892;16;25,743;12,817;12,911;15;27,266;12,909;14,347;10;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);12;País;;;;Sin especificar;6,216;3,409;2,673;134;1,118;617;479;22;1,517;872;604;41;1,415;801;582;32;1,054;573;464;17;1,112;546;544;22;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);13;País;;;;Rural;120,471;68,522;51,750;199;19,500;11,008;8,463;29;24,406;14,561;9,815;30;25,340;14,801;10,479;60;23,250;12,964;10,244;42;27,975;15,188;12,749;38;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);14;País;;;;0 a 17;9,165;5,218;3,917;30;1,628;934;688;6;1,621;930;688;3;1,661;958;696;7;1,888;1,051;830;7;2,367;1,345;1,015;7;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);15;País;;;;18 a 29;7,522;5,063;2,455;4;1,317;890;427;0;1,341;905;436;0;1,537;1,021;513;3;1,483;993;489;1;1,844;1,254;590;0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);16;País;;;;30 a 59;26,925;16,390;10,521;14;4,599;2,697;1,901;1;5,416;3,374;2,041;1;5,910;3,599;2,306;5;4,847;2,998;1,845;4;6,153;3,722;2,428;3;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);17;País;;;;60 o más;71,827;39,053;32,726;48;11,088;6,007;5,079;2;14,995;8,752;6,228;15;15,168;8,647;6,509;12;14,089;7,400;6,681;8;16,487;8,247;8,229;11;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024 (1);18;País;;;;Sin especificar;5,032;2,798;2,131;103;868;480;368;20;1,033;600;422;11;1,064;576;455;33;943;522;399;22;1,124;620;487;17;;;;;;;;;;
