cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;total;total_hombres;total_mujeres;total_sin_especificar;2019_total;2019_hombres;2019_mujeres;2019_sin_especificar;2020_total;2020_hombres;2020_mujeres;2020_sin_especificar;2021_total;2021_hombres;2021_mujeres;2021_sin_especificar;2022_total;2022_hombres;2022_mujeres;2022_sin_especificar;2023_total;2023_hombres;2023_mujeres;2023_sin_especificar;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);1;País;;;;Bolivia;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);2;País;;;;0 a 17;6.0;6.1;5.8;14.5;6.9;6.9;6.8;17.9;5.0;4.8;5.3;8.6;5.0;5.1;5.0;14.5;6.3;6.6;6.0;12.5;7.1;7.7;6.4;20.2;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);3;País;;;;18 a 29;5.5;6.5;4.2;2.7;6.3;7.7;4.6;2.6;4.6;5.2;3.9;1.0;4.9;5.6;4.0;4.0;5.7;6.9;4.2;3.4;6.1;7.8;4.2;2.2;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);4;País;;;;30 a 59;25.3;27.4;22.6;8.7;25.8;27.2;24.0;7.7;25.6;27.1;23.5;6.7;26.7;28.8;24.0;6.5;23.7;26.3;20.6;13.6;24.4;27.3;21.2;10.1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);5;País;;;;60 o más;60.1;56.9;64.3;25.2;57.5;54.7;61.2;17.9;61.5;59.7;64.1;34.3;60.2;57.5;63.9;22.6;61.2;57.2;66.2;26.1;59.3;54.1;65.3;23.6;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);6;País;;;;Sin especificar;3.2;3.1;3.1;49.0;3.5;3.5;3.4;53.8;3.3;3.2;3.3;49.5;3.1;3.0;3.1;52.4;3.1;3.1;2.9;44.3;3.0;3.0;3.0;43.8;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);7;País;;;;Urbana;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);8;País;;;;0 a 17;5.2;5.3;5.0;14.0;6.1;6.1;6.1;16.3;4.3;4.1;4.5;8.0;4.3;4.4;4.2;17.2;5.4;5.7;4.9;8.7;6.3;7.0;5.4;21.6;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);9;País;;;;18 a 29;5.1;6.0;3.9;3.2;6.1;7.5;4.3;4.1;4.3;4.7;3.6;1.3;4.4;5.0;3.6;3.1;5.3;6.4;3.9;4.3;5.9;7.6;4.0;3.9;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);10;País;;;;30 a 59;26.8;29.2;23.8;9.8;26.9;28.6;24.8;10.2;27.2;28.9;24.7;8.0;28.3;31.0;24.9;4.7;25.3;28.1;22.0;17.4;25.9;29.1;22.4;11.8;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);11;País;;;;60 o más;60.3;56.8;64.8;26.0;57.9;54.8;61.8;24.5;61.5;59.6;64.4;28.0;60.3;57.1;64.7;25.0;61.6;57.2;66.7;32.6;59.6;54.1;65.7;19.6;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);12;País;;;;Sin especificar;2.7;2.6;2.6;47.0;3.0;3.0;2.9;44.9;2.8;2.8;2.8;54.7;2.6;2.6;2.5;50.0;2.5;2.6;2.4;37.0;2.4;2.3;2.5;43.1;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);13;País;;;;Rural;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);14;País;;;;0 a 17;7.6;7.6;7.6;15.1;8.3;8.5;8.1;20.7;6.6;6.4;7.0;10.0;6.6;6.5;6.6;11.7;8.1;8.1;8.1;16.7;8.5;8.9;8.0;18.4;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);15;País;;;;18 a 29;6.2;7.4;4.7;2.0;6.8;8.1;5.0;0.0;5.5;6.2;4.4;0.0;6.1;6.9;4.9;5.0;6.4;7.7;4.8;2.4;6.6;8.3;4.6;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);16;País;;;;30 a 59;22.3;23.9;20.3;7.0;23.6;24.5;22.5;3.4;22.2;23.2;20.8;3.3;23.3;24.3;22.0;8.3;20.8;23.1;18.0;9.5;22.0;24.5;19.0;7.9;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);17;País;;;;60 o más;59.6;57.0;63.2;24.1;56.9;54.6;60.0;6.9;61.4;60.1;63.5;50.0;59.9;58.4;62.1;20.0;60.6;57.1;65.2;19.0;58.9;54.3;64.5;28.9;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);18;País;;;;Sin especificar;4.2;4.1;4.1;51.8;4.5;4.4;4.3;69.0;4.2;4.1;4.3;36.7;4.2;3.9;4.3;55.0;4.1;4.0;3.9;52.4;4.0;4.1;3.8;44.7;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);19;Departamento;Chuquisaca;;;Chuquisaca;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);20;Departamento;Chuquisaca;;;0 a 17;5.6;5.8;5.4;13.0;6.6;7.1;5.8;50.0;5.2;5.1;5.2;0.0;4.6;4.1;5.2;0.0;5.6;5.9;5.2;0.0;6.4;7.2;5.5;16.7;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);21;Departamento;Chuquisaca;;;18 a 29;5.1;6.3;3.7;4.3;5.2;6.5;3.6;25.0;4.6;5.5;3.5;0.0;5.1;6.2;3.7;0.0;4.9;6.3;3.3;0.0;5.7;7.0;4.2;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);22;Departamento;Chuquisaca;;;30 a 59;22.2;25.4;18.4;8.7;22.6;26.6;18.0;0.0;22.2;24.6;19.2;25.0;24.5;28.3;19.8;0.0;20.7;23.2;17.9;0.0;20.9;24.3;17.2;16.7;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);23;Departamento;Chuquisaca;;;60 o más;63.9;59.4;69.3;26.1;62.7;57.2;69.3;25.0;64.9;61.7;69.0;25.0;62.5;58.5;67.8;0.0;65.5;61.4;70.4;100.0;63.7;57.9;70.2;33.3;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);24;Departamento;Chuquisaca;;;Sin especificar;3.2;3.1;3.2;47.8;2.9;2.7;3.2;0.0;3.1;3.0;3.1;50.0;3.4;2.9;3.5;100.0;3.2;3.2;3.3;0.0;3.3;3.6;2.9;33.3;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);25;Departamento;Chuquisaca;;;Urbana;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);26;Departamento;Chuquisaca;;;0 a 17;4.5;4.8;4.1;30.0;5.1;5.1;4.8;66.7;4.1;4.2;4.0;0.0;3.7;3.6;3.9;0.0;4.5;5.0;4.1;0.0;5.3;6.7;3.8;50.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);27;Departamento;Chuquisaca;;;18 a 29;4.2;5.1;3.1;10.0;4.1;4.8;3.1;33.3;3.7;4.1;3.1;0.0;3.6;4.5;2.4;0.0;4.1;5.5;2.5;0.0;5.8;7.2;4.5;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);28;Departamento;Chuquisaca;;;30 a 59;23.8;27.1;20.1;10.0;24.9;29.6;19.8;0.0;23.1;25.0;20.5;50.0;26.9;31.5;21.2;0.0;22.4;24.6;20.0;0.0;21.7;24.6;19.0;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);29;Departamento;Chuquisaca;;;60 o más;65.3;61.0;70.3;10.0;63.9;58.8;70.0;0.0;66.8;64.6;69.9;0.0;63.7;58.5;70.4;0.0;66.7;62.9;70.8;100.0;64.9;59.6;70.1;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);30;Departamento;Chuquisaca;;;Sin especificar;2.2;1.9;2.4;40.0;2.0;1.7;2.3;0.0;2.2;1.9;2.5;50.0;2.1;2.0;2.1;100.0;2.3;2.1;2.5;0.0;2.3;1.9;2.6;50.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);31;Departamento;Chuquisaca;;;Rural;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);32;Departamento;Chuquisaca;;;0 a 17;6.9;6.9;6.9;0.0;8.3;9.4;7.1;0.0;6.6;6.5;6.7;0.0;5.8;4.8;7.0;0.0;6.7;6.9;6.5;0.0;7.4;7.6;7.3;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);33;Departamento;Chuquisaca;;;18 a 29;6.1;7.6;4.3;0.0;6.5;8.4;4.3;0.0;5.8;7.4;4.0;0.0;7.1;8.6;5.3;0.0;5.9;7.2;4.1;0.0;5.6;6.9;3.9;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);34;Departamento;Chuquisaca;;;30 a 59;20.2;23.4;16.3;7.7;19.8;23.2;16.0;0.0;21.0;24.1;17.6;0.0;21.2;23.9;18.0;0.0;18.9;21.8;15.3;0.0;20.1;24.1;15.3;25.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);35;Departamento;Chuquisaca;;;60 o más;62.4;57.6;68.3;38.5;61.3;55.2;68.4;100.0;62.2;57.5;67.8;50.0;60.9;58.5;64.2;0.0;64.2;59.8;69.9;100.0;62.7;56.5;70.3;50.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);36;Departamento;Chuquisaca;;;Sin especificar;4.4;4.4;4.2;53.8;4.0;3.8;4.3;0.0;4.3;4.6;4.0;50.0;5.1;4.2;5.5;100.0;4.2;4.3;4.1;0.0;4.2;4.9;3.3;25.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);37;Provincia;Chuquisaca;Oropeza;;Oropeza;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);38;Provincia;Chuquisaca;Oropeza;;0 a 17;4.8;4.9;4.5;37.5;5.7;5.5;5.7;66.7;4.0;4.4;3.6;0.0;3.8;3.3;4.5;0.0;5.0;5.5;4.4;0.0;5.7;6.6;4.7;100.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);39;Provincia;Chuquisaca;Oropeza;;18 a 29;4.1;4.7;3.3;12.5;3.9;4.4;3.2;33.3;3.8;4.1;3.4;0.0;3.6;4.4;2.6;0.0;3.7;4.6;2.6;0.0;5.4;6.1;4.7;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);40;Provincia;Chuquisaca;Oropeza;;30 a 59;23.4;27.0;19.1;12.5;23.7;28.9;17.9;0.0;22.3;25.0;18.7;50.0;27.3;31.9;21.6;0.0;21.8;25.2;18.1;0.0;21.2;23.8;18.6;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);41;Provincia;Chuquisaca;Oropeza;;60 o más;65.1;60.7;70.2;12.5;64.5;59.7;70.3;0.0;67.0;63.9;71.2;0.0;62.5;57.7;68.6;0.0;67.0;62.4;72.0;100.0;64.5;60.1;69.2;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);42;Provincia;Chuquisaca;Oropeza;;Sin especificar;2.7;2.6;2.8;25.0;2.2;1.5;2.9;0.0;2.9;2.6;3.1;50.0;2.7;2.8;2.6;100.0;2.6;2.4;2.8;0.0;3.1;3.4;2.8;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);43;Provincia;Chuquisaca;Oropeza;;Urbana;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);44;Provincia;Chuquisaca;Oropeza;;0 a 17;4.4;4.6;4.2;37.5;5.3;5.4;4.9;66.7;4.1;4.4;3.6;0.0;3.7;3.2;4.3;0.0;4.2;4.3;4.1;0.0;5.3;6.3;4.2;100.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);45;Provincia;Chuquisaca;Oropeza;;18 a 29;3.9;4.6;3.1;12.5;3.5;3.8;3.0;33.3;3.3;3.3;3.3;0.0;3.5;4.6;2.1;0.0;3.4;4.4;2.2;0.0;5.8;6.8;4.9;0.0;;;;;;;;;;
BOLIVIA: PERSONAS FALLECIDAS DECLARADAS POR GESTIÓN Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSO 2024(1);46;Provincia;Chuquisaca;Oropeza;;30 a 59;23.9;27.4;19.8;12.5;24.6;29.9;19.0;0.0;22.6;25.0;19.2;50.0;27.9;33.1;21.4;0.0;22.7;25.3;20.0;0.0;21.2;23.2;19.2;0.0;;;;;;;;;;
