cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;"2024_residentes_habituales
(a_=_c_+_e)";"2024_poblacion_ocupada(1)
(b_=_c_+_d)";"2024_poblacion_residente_y_ocupada
(c)";"2024_trabajadores_que_llegan_
(d)";"2024_trabajadores_que_salen
(e)";"2024__movimientos_cotidianos_para_trabajar
(f_=_d_+_e)";"2024_saldo_de_movilidad
(g_=_d_-_e)";"2024_relacion_de_saldo_de_movilidad(2)
(h_=_g___a)";"2024_porcentaje_de_no_movilidad
_";"2024_porcentaje_de_movilidad_intermunicipal
_"
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2024;1;Departamento;Chuquisaca;;;Chuquisaca;246,554;241,035;234,388;6,647;12,166;18,813;-5,519;-2.2;95.1;4.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2025;2;Departamento;Chuquisaca;;;Hombres;139,634;135,937;131,608;4,329;8,026;12,355;-3,697;-2.6;94.3;5.7
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2026;3;Departamento;Chuquisaca;;;Mujeres;106,920;105,098;102,780;2,318;4,140;6,458;-1,822;-1.7;96.1;3.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2027;4;Provincia;Chuquisaca;Oropeza;;Oropeza;135,399;132,115;127,118;4,997;8,281;13,278;-3,284;-2.4;93.9;6.1
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2028;5;Provincia;Chuquisaca;Oropeza;;Hombres;72,120;69,833;66,685;3,148;5,435;8,583;-2,287;-3.2;92.5;7.5
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2029;6;Provincia;Chuquisaca;Oropeza;;Mujeres;63,279;62,282;60,433;1,849;2,846;4,695;-997;-1.6;95.5;4.5
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2030;7;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;126,693;123,823;118,394;5,429;8,299;13,728;-2,870;-2.3;93.4;6.6
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2031;8;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Hombres;66,972;65,051;61,650;3,401;5,322;8,723;-1,921;-2.9;92.1;7.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2032;9;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Mujeres;59,721;58,772;56,744;2,028;2,977;5,005;-949;-1.6;95.0;5.0
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;3,892;3,687;3,161;526;731;1,257;-205;-5.3;81.2;18.8
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Hombres;2,179;2,044;1,762;282;417;699;-135;-6.2;80.9;19.1
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Mujeres;1,713;1,643;1,399;244;314;558;-70;-4.1;81.7;18.3
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;4,344;4,265;3,884;381;460;841;-79;-1.8;89.4;10.6
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Hombres;2,670;2,554;2,342;212;328;540;-116;-4.3;87.7;12.3
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Mujeres;1,674;1,711;1,542;169;132;301;37;2.2;92.1;7.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2039;16;Provincia;Chuquisaca;Azurduy;;Azurduy;7,366;7,324;6,852;472;514;986;-42;-0.6;93.0;7.0
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2040;17;Provincia;Chuquisaca;Azurduy;;Hombres;4,670;4,624;4,344;280;326;606;-46;-1.0;93.0;7.0
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2041;18;Provincia;Chuquisaca;Azurduy;;Mujeres;2,696;2,700;2,508;192;188;380;4;0.1;93.0;7.0
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2042;19;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;2,405;2,429;2,240;189;165;354;24;1.0;93.1;6.9
BOLIVIA: POBLACIÓN OCUPADA DE 14 AÑOS O MÁS CON RESIDENCIA HABITUAL POR MOVILIDAD COTIDIANA PARA TRABAJAR SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2043;20;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Hombres;1,478;1,490;1,374;116;104;220;12;0.8;93.0;7.0
