cuadro;pregunta;no;nivel;departamento;provincia;municipio_tioc;area;2012_poblacion_total;2012_publico_acude;2012_publico_no_acude;2012_caja_de_salud_acude;2012_caja_de_salud_no_acude;2012_privado_acude;2012_privado_no_acude;2012_seguro_salud_privado_acude;2012_seguro_salud_privado_no_acude;2012_medico_tradicional_acude;2012_medico_tradicional_no_acude;2012_farmacia_o_automedica_acude;2012_farmacia_o_automedica_no_acude;2012_soluciones_caseras_acude;2012_soluciones_caseras_no_acude;2024_poblacion_total;2024_publico_acude;2024_publico_no_acude;2024_publico_sin_especificar;2024_caja_de_salud_acude;2024_caja_de_salud_no_acude;2024_caja_de_salud_sin_especificar;2024_privado_acude;2024_privado_no_acude;2024_privado_sin_especificar;2024_atencion_medica_a_domicilio_acude;2024_atencion_medica_a_domicilio_no_acude;2024_atencion_medica_a_domicilio_sin_especificar;2024_medico_tradicional_acude;2024_medico_tradicional_no_acude;2024_medico_tradicional_sin_especificar;2024_farmacia_o_automedica_acude;2024_farmacia_o_automedica_no_acude;2024_farmacia_o_automedica_sin_especificar;2024_soluciones_caseras_acude;2024_soluciones_caseras_no_acude;2024_soluciones_caseras_sin_especificar
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2024;a donde acuden las personas cuando tienen problemas de salud;1;País;;;;BOLIVIA;10,059,856;6,199,359;3,860,497;2,031,669;8,028,187;1,655,130;8,404,726;974,557;9,085,299;1,791,114;8,268,742;4,709,392;5,350,464;4,502,505;5,557,351;11,365,333;8,204,350;3,079,058;81,925;2,184,181;9,094,157;86,995;2,843,510;8,433,483;88,340;842,038;10,434,402;88,893;2,819,414;8,456,863;89,056;5,580,686;5,695,528;89,119;7,252,699;4,023,826;88,808
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2024;a donde acuden las personas cuando tienen problemas de salud;2;País;;;;Urbana;6,788,962;3,928,634;2,860,328;1,692,397;5,096,565;1,364,764;5,424,198;839,201;5,949,761;855,545;5,933,417;3,497,616;3,291,346;2,818,018;3,970,944;7,846,708;5,350,704;2,451,153;44,851;1,840,245;5,958,891;47,572;2,313,157;5,484,940;48,611;481,192;7,316,467;49,049;1,712,247;6,085,318;49,143;4,133,191;3,664,405;49,112;4,872,949;2,924,787;48,972
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2025;a donde acuden las personas cuando tienen problemas de salud;3;País;;;;Rural;3,270,894;2,270,725;1,000,169;339,272;2,931,622;290,366;2,980,528;135,356;3,135,538;935,569;2,335,325;1,211,776;2,059,118;1,684,487;1,586,407;3,518,625;2,853,646;627,905;37,074;343,936;3,135,266;39,423;530,353;2,948,543;39,729;360,846;3,117,935;39,844;1,107,167;2,371,545;39,913;1,447,495;2,031,123;40,007;2,379,750;1,099,039;39,836
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2026;a donde acuden las personas cuando tienen problemas de salud;4;Departamento;Chuquisaca;;;Chuquisaca;580,923;425,292;155,631;106,963;473,960;66,272;514,651;48,513;532,410;167,668;413,255;267,692;313,231;321,357;259,566;606,027;486,627;115,274;4,126;113,062;488,666;4,299;128,504;473,164;4,359;58,236;543,413;4,378;174,057;427,578;4,392;301,536;300,103;4,388;425,017;176,629;4,381
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2027;a donde acuden las personas cuando tienen problemas de salud;5;Departamento;Chuquisaca;;;Urbana;283,123;182,877;100,246;80,647;202,476;50,392;232,731;40,220;242,903;44,046;239,077;164,621;118,502;144,431;138,692;336,345;244,464;90,350;1,531;90,936;243,798;1,611;98,197;236,487;1,661;22,900;311,767;1,678;78,550;256,108;1,687;192,473;142,185;1,687;232,541;102,119;1,685
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2028;a donde acuden las personas cuando tienen problemas de salud;6;Departamento;Chuquisaca;;;Rural;297,800;242,415;55,385;26,316;271,484;15,880;281,920;8,293;289,507;123,622;174,178;103,071;194,729;176,926;120,874;269,682;242,163;24,924;2,595;22,126;244,868;2,688;30,307;236,677;2,698;35,336;231,646;2,700;95,507;171,470;2,705;109,063;157,918;2,701;192,476;74,510;2,696
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2029;a donde acuden las personas cuando tienen problemas de salud;7;Provincia;Chuquisaca;Oropeza;;Oropeza;287,615;183,664;103,951;76,974;210,641;48,018;239,597;39,293;248,322;49,012;238,603;159,288;128,327;148,793;138,822;319,651;229,164;89,013;1,474;84,269;233,826;1,556;90,063;227,989;1,599;23,703;294,329;1,619;70,413;247,612;1,626;174,728;143,295;1,628;218,778;99,248;1,625
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2030;a donde acuden las personas cuando tienen problemas de salud;8;Provincia;Chuquisaca;Oropeza;;Urbana;238,798;146,300;92,498;72,377;166,421;45,035;193,763;37,478;201,320;31,384;207,414;141,350;97,448;120,681;118,117;275,959;191,813;83,043;1,103;79,301;195,504;1,154;84,043;190,721;1,195;18,088;256,659;1,212;56,616;218,124;1,219;156,507;118,233;1,219;188,683;86,058;1,218
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2031;a donde acuden las personas cuando tienen problemas de salud;9;Provincia;Chuquisaca;Oropeza;;Rural;48,817;37,364;11,453;4,597;44,220;2,983;45,834;1,815;47,002;17,628;31,189;17,938;30,879;28,112;20,705;43,692;37,351;5,970;371;4,968;38,322;402;6,020;37,268;404;5,615;37,670;407;13,797;29,488;407;18,221;25,062;409;30,095;13,190;407
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2032;a donde acuden las personas cuando tienen problemas de salud;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;261,622;163,588;98,034;74,799;186,823;46,464;215,158;38,552;223,070;38,375;223,247;150,630;110,992;132,634;128,988;296,746;209,274;86,174;1,298;81,788;213,590;1,368;86,859;208,476;1,411;20,619;274,699;1,428;63,080;232,231;1,435;166,229;129,080;1,437;203,528;91,783;1,435
