cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2012_poblacion_total;2012_salud_publica;2012_caja de salud;2012_salud_privada;2012_seguro_salud_privado;2012_medico_tradicional;2012_automedicacion_farmacia;2012_soluciones_caseras;2024_poblacion_total;2024_salud_publica;2024_caja de salud;2024_salud_privada;2024_seguro_atencion_a_domicilio;2024_medico_tradicional;2024_automedicacion_farmacia;2024_soluciones_caseras
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2024;1;País;;;;BOLIVIA;10,059,856;6,199,359;2,031,669;1,655,130;974,557;1,791,114;4,709,392;4,502,505;11,365,333;8,204,350;2,184,181;2,843,510;842,038;2,819,414;5,580,686;7,252,699
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2025;2;País;;;;Urbana;6,788,962;3,928,634;1,692,397;1,364,764;839,201;855,545;3,497,616;2,818,018;7,846,708;5,350,704;1,840,245;2,313,157;481,192;1,712,247;4,133,191;4,872,949
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2026;3;País;;;;Rural;3,270,894;2,270,725;339,272;290,366;135,356;935,569;1,211,776;1,684,487;3,518,625;2,853,646;343,936;530,353;360,846;1,107,167;1,447,495;2,379,750
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;580,923;425,292;106,963;66,272;48,513;167,668;267,692;321,357;606,027;486,627;113,062;128,504;58,236;174,057;301,536;425,017
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;283,123;182,877;80,647;50,392;40,220;44,046;164,621;144,431;336,345;244,464;90,936;98,197;22,900;78,550;192,473;232,541
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;297,800;242,415;26,316;15,880;8,293;123,622;103,071;176,926;269,682;242,163;22,126;30,307;35,336;95,507;109,063;192,476
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;287,615;183,664;76,974;48,018;39,293;49,012;159,288;148,793;319,651;229,164;84,269;90,063;23,703;70,413;174,728;218,778
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;238,798;146,300;72,377;45,035;37,478;31,384;141,350;120,681;275,959;191,813;79,301;84,043;18,088;56,616;156,507;188,683
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;48,817;37,364;4,597;2,983;1,815;17,628;17,938;28,112;43,692;37,351;4,968;6,020;5,615;13,797;18,221;30,095
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2033;10;Municipio;Chuquisaca;Oropeza;Sucre;Sucre;261,622;163,588;74,799;46,464;38,552;38,375;150,630;132,634;296,746;209,274;81,788;86,859;20,619;63,080;166,229;203,528
