cuadro;no;nivel;departamento;provincia;municipio_tioc;sexo;2012_total;2012_establecimiento_de_salud_publico;2012_caja_de_salud;2012_establecimiento_de_salud_privado;2012_seguro_de_salud_privado;2012_medico_tradicional;2012_farmacia_o_se_automedica;2012_soluciones_caseras;2024_total;2024_establecimiento_de_salud_publico;2024_caja_de_salud;2024_establecimiento_de_salud_privado;2024_seguro_de_salud_privado;2024_medico_tradicional;2024_farmacia_o_se_automedica;2024_soluciones_caseras
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;1;País;;;;BOLIVIA;11,365,333;6,199,359;2,031,669;1,655,130;974,557;1,791,114;4,709,392;4,502,505;11,365,333;8,204,350;2,184,181;2,843,510;842,038;2,819,414;5,580,686;7,252,699
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;2;País;;;;Hombres;5,682,498;3,051,132;1,000,486;809,591;487,331;895,900;2,347,054;2,203,161;5,682,498;4,052,380;1,076,028;1,376,030;416,539;1,410,654;2,765,676;3,563,986
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;3;País;;;;Mujeres;5,682,835;3,148,227;1,031,183;845,539;487,226;895,214;2,362,338;2,299,344;5,682,835;4,151,970;1,108,153;1,467,480;425,499;1,408,760;2,815,010;3,688,713
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;4;Departamento;Chuquisaca;;;Chuquisaca;606,027;425,292;106,963;66,272;48,513;167,668;267,692;321,357;606,027;486,627;113,062;128,504;58,236;174,057;301,536;425,017
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;5;Departamento;Chuquisaca;;;Hombres;299,161;207,321;50,791;31,819;23,549;82,821;131,095;155,383;299,161;238,205;53,698;60,858;28,052;85,469;147,025;205,861
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;6;Departamento;Chuquisaca;;;Mujeres;306,866;217,971;56,172;34,453;24,964;84,847;136,597;165,974;306,866;248,422;59,364;67,646;30,184;88,588;154,511;219,156
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;7;Provincia;Chuquisaca;Oropeza;;Oropeza;319,651;183,664;76,974;48,018;39,293;49,012;159,288;148,793;319,651;229,164;84,269;90,063;23,703;70,413;174,728;218,778
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;8;Provincia;Chuquisaca;Oropeza;;Hombres;153,758;86,660;35,947;22,763;18,784;23,465;76,210;69,188;153,758;108,799;39,487;42,389;11,236;33,554;83,297;102,432
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;9;Provincia;Chuquisaca;Oropeza;;Mujeres;165,893;97,004;41,027;25,255;20,509;25,547;83,078;79,605;165,893;120,365;44,782;47,674;12,467;36,859;91,431;116,346
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSO 2012 Y 2024;10;Municipio;Chuquisaca;Oropeza;Sucre;Sucre;296,746;163,588;74,799;46,464;38,552;38,375;150,630;132,634;296,746;209,274;81,788;86,859;20,619;63,080;166,229;203,528
