cuadro;no;nivel;departamento;provincia;municipio_tioc;area;poblacion_total;poblacion_registrado_o_afiliado_o_ninguno;sus;cns_cp_cc_cbp_cossmil_su_otros;privado;ninguno;sin_especificar;hombres_total;hombres_poblacion_registrado_o_afiliado_o_ninguno;hombres_sus;hombres_cns_cp_cc_cbp_cossmil_su_otros;hombres_privado;hombres_ninguno;hombres_sin_especificar;mujeres_total;mujeres_poblacion_registrado_o_afiliado_o_ninguno;mujeres_sus;mujeres_cns_cp_cc_cbp_cossmil_su_otros;mujeres_privado;mujeres_ninguno;mujeres_sin_especificar
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2024;1;País;;;;BOLIVIA;11,258,260;11,111,718;7,095,469;1,517,179;171,848;2,327,222;146,542;5,627,273;5,550,619;3,426,722;744,042;89,142;1,290,713;76,654;5,630,987;5,561,099;3,668,747;773,137;82,706;1,036,509;69,888
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2025;2;País;;;;Urbana;7,787,454;7,715,836;4,492,540;1,319,300;150,598;1,753,398;71,618;3,809,027;3,772,382;2,098,840;638,827;76,938;957,777;36,645;3,978,427;3,943,454;2,393,700;680,473;73,660;795,621;34,973
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2026;3;País;;;;Rural;3,470,806;3,395,882;2,602,929;197,879;21,250;573,824;74,924;1,818,246;1,778,237;1,327,882;105,215;12,204;332,936;40,009;1,652,560;1,617,645;1,275,047;92,664;9,046;240,888;34,915
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2027;4;Departamento;Chuquisaca;;;Chuquisaca;600,169;591,797;425,162;75,624;5,101;85,910;8,372;296,231;291,915;204,941;36,139;2,551;48,284;4,316;303,938;299,882;220,221;39,485;2,550;37,626;4,056
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2028;5;Departamento;Chuquisaca;;;Urbana;334,067;331,577;204,646;64,416;4,042;58,473;2,490;160,250;158,993;94,013;30,547;1,994;32,439;1,257;173,817;172,584;110,633;33,869;2,048;26,034;1,233
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2029;6;Departamento;Chuquisaca;;;Rural;266,102;260,220;220,516;11,208;1,059;27,437;5,882;135,981;132,922;110,928;5,592;557;15,845;3,059;130,121;127,298;109,588;5,616;502;11,592;2,823
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;317,379;314,795;194,653;57,919;3,961;58,262;2,584;152,649;151,352;89,762;27,386;1,954;32,250;1,297;164,730;163,443;104,891;30,533;2,007;26,012;1,287
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;274,163;272,466;160,386;55,700;3,641;52,739;1,697;130,752;129,923;72,777;26,281;1,774;29,091;829;143,411;142,543;87,609;29,419;1,867;23,648;868
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;43,216;42,329;34,267;2,219;320;5,523;887;21,897;21,429;16,985;1,105;180;3,159;468;21,319;20,900;17,282;1,114;140;2,364;419
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2033;10;Municipio;Chuquisaca;Oropeza;Sucre;Sucre;294,699;292,590;176,077;56,827;3,805;55,881;2,109;141,133;140,086;80,482;26,843;1,863;30,898;1,047;153,566;152,504;95,595;29,984;1,942;24,983;1,062
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2034;11;Municipio;Chuquisaca;Oropeza;Sucre;Urbana;274,163;272,466;160,386;55,700;3,641;52,739;1,697;130,752;129,923;72,777;26,281;1,774;29,091;829;143,411;142,543;87,609;29,419;1,867;23,648;868
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2035;12;Municipio;Chuquisaca;Oropeza;Sucre;Rural;20,536;20,124;15,691;1,127;164;3,142;412;10,381;10,163;7,705;562;89;1,807;218;10,155;9,961;7,986;565;75;1,335;194
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2036;13;Municipio;Chuquisaca;Oropeza;Yotala;Yotala;9,176;9,038;7,187;770;98;983;138;4,611;4,531;3,527;381;65;558;80;4,565;4,507;3,660;389;33;425;58
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2037;14;Municipio;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2038;15;Municipio;Chuquisaca;Oropeza;Yotala;Rural;9,176;9,038;7,187;770;98;983;138;4,611;4,531;3,527;381;65;558;80;4,565;4,507;3,660;389;33;425;58
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2039;16;Municipio;Chuquisaca;Oropeza;Poroma;Poroma;13,504;13,167;11,389;322;58;1,398;337;6,905;6,735;5,753;162;26;794;170;6,599;6,432;5,636;160;32;604;167
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2040;17;Municipio;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2041;18;Municipio;Chuquisaca;Oropeza;Poroma;Rural;13,504;13,167;11,389;322;58;1,398;337;6,905;6,735;5,753;162;26;794;170;6,599;6,432;5,636;160;32;604;167
