cuadro;no;nivel;departamento;provincia;municipio_tioc;area;poblacion_con_cobertura_de_salud;hombres_con_cobertura_de_salud;mujeres_con_cobertura_de_salud;total_cobertura_de_salud;hombres_cobertura_de_salud;mujeres_cobertura_de_salud
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;1;País;;;;BOLIVIA;8,784,496;4,259,906;4,524,590;79.1;76.7;81.4
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;2;País;;;;Urbana;5,962,438;2,814,605;3,147,833;77.3;74.6;79.8
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;3;País;;;;Rural;2,822,058;1,445,301;1,376,757;83.1;81.3;85.1
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;4;Departamento;Chuquisaca;;;Chuquisaca;505,887;243,631;262,256;85.5;83.5;87.5
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;5;Departamento;Chuquisaca;;;Urbana;273,104;126,554;146,550;82.4;79.6;84.9
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;6;Departamento;Chuquisaca;;;Rural;232,783;117,077;115,706;89.5;88.1;90.9
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;7;Provincia;Chuquisaca;Oropeza;;Oropeza;256,533;119,102;137,431;81.5;78.7;84.1
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;8;Provincia;Chuquisaca;Oropeza;;Urbana;219,727;100,832;118,895;80.6;77.6;83.4
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;9;Provincia;Chuquisaca;Oropeza;;Rural;36,806;18,270;18,536;87.0;85.3;88.7
BOLIVIA: COBERTURA DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA,  CENSO 2024;10;Municipio;Chuquisaca;Oropeza;Sucre;Sucre;236,709;109,188;127,521;80.9;77.9;83.6
