cuarto;no;nivel;departamento;provincia;municipio_tioc;area;2001_total_mujeres;2001_mujeres_sin_informacion;2001_mujeres_sin_hijos;2001_mujeres_con_hijos;2001_hijos_nacidos_vivos;2001_paridez_media;2012_total_mujeres;2012_mujeres_sin_informacion;2012_mujeres_sin_hijos;2012_mujeres_con_hijos;2012_hijos_nacidos_vivos;2012_paridez_media;2024_total_mujeres;2024_mujeres_sin_informacion;2024_mujeres_sin_hijos;2024_mujeres_con_hijos;2024_hijos_nacidos_vivos;2024_paridez_media;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2024;1;País;;;;Bolivia;2,035,397;222,976;505,945;1,306,476;4,845,056;2.7;2,652,901;563,947;511,445;1,577,509;4,897,824;2.3;3,050,550;472,390;782,513;1,795,647;4,642,374;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2025;2;País;;;;15 a 19;434,052;121,651;254,018;58,383;75,431;0.2;546,999;251,439;226,701;68,859;87,186;0.3;496,574;181,328;278,746;36,500;42,327;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2026;3;País;;;;20 a 24;398,442;49,748;140,455;208,239;393,207;1.1;485,588;127,361;139,465;218,762;370,798;1.0;506,752;118,142;217,601;171,009;257,778;0.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2027;4;País;;;;25 a 29;313,103;20,715;55,402;236,986;637,988;2.2;410,102;65,532;69,698;274,872;622,962;1.8;500,123;70,695;133,093;296,335;570,525;1.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2028;5;País;;;;30 a 34;267,069;11,121;24,110;231,838;835,592;3.3;381,634;42,208;35,617;303,809;894,251;2.6;457,549;39,967;70,361;347,221;819,142;2.0;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2029;6;País;;;;35 a 39;242,849;8,154;14,084;220,611;996,663;4.2;320,870;31,292;19,010;270,568;971,224;3.4;411,038;26,364;39,529;345,145;961,534;2.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2030;7;País;;;;40 a 44;209,783;6,415;9,966;193,402;1,007,530;5.0;273,730;25,731;11,850;236,149;988,808;4.0;368,949;19,718;25,110;324,121;1,027,866;2.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2031;8;País;;;;45 a 49;170,099;5,172;7,910;157,017;898,645;5.4;233,978;20,384;9,104;204,490;962,595;4.5;309,565;16,176;18,073;275,316;963,202;3.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2032;9;País;;;;Urbana;1,414,526;129,506;410,081;874,939;2,853,644;2.2;1,932,640;387,402;417,168;1,128,070;3,177,611;2.1;2,244,746;316,125;640,377;1,288,244;3,129,652;1.6;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 2033;10;País;;;;15 a 19;304,472;69,616;200,529;34,327;43,082;0.2;385,535;166,216;175,790;43,529;54,963;0.3;356,085;117,779;218,048;20,258;23,139;0.1;;
