cuadro;pregunta;no;nivel;departamento;provincia;municipio_tioc;area;2001_total;2001_medico;2001_partero;2001_otra_persona;2001_usted_misma;2001_enfermero_auxiliar_de_enfermeria;2001_sin_especificar;2024_total;2024_medico;2024_enfermero;2024_enfermero_auxiliar_de_enfermeria;2024_partero;2024_atencion_conjunta_medicina_tradicional;2024_conyuge_o_familiar;2024_otra_persona;2024_usted_misma;2024_sin_especificar
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2024;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;1;País;;;;BOLIVIA;757,717;427,220;54,802;72,724;92,729;93,775;16,467;708,146;595,927;51,361;5,611;20,180;2,733;21,869;1,956;8,368;141
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2025;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;2;País;;;;Urbana;472,119;351,167;28,368;29,248;21,515;34,738;7,083;488,684;449,040;20,440;1,701;6,516;1,457;6,535;778;2,152;65
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2026;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;3;País;;;;Rural;285,598;76,053;26,434;43,476;71,214;59,037;9,384;219,462;146,887;30,921;3,910;13,664;1,276;15,334;1,178;6,216;76
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2027;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;4;Departamento;Chuquisaca;;;Chuquisaca;50,425;22,893;5,030;5,424;7,881;8,062;1,135;35,129;28,139;3,940;489;686;163;1,224;102;382;4
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2028;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;5;Departamento;Chuquisaca;;;Urbana;19,382;15,621;1,335;423;550;1,141;312;19,395;17,809;946;67;176;73;209;30;83;2
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2029;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;6;Departamento;Chuquisaca;;;Rural;31,043;7,272;3,695;5,001;7,331;6,921;823;15,734;10,330;2,994;422;510;90;1,015;72;299;2
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2030;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;7;Provincia;Chuquisaca;Oropeza;;Oropeza;21,920;14,983;1,759;696;1,801;2,270;411;18,192;16,262;1,116;104;169;77;314;29;120;1
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2031;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;8;Provincia;Chuquisaca;Oropeza;;Urbana;17,265;13,887;1,214;353;479;1,054;278;15,705;14,524;678;52;135;62;165;24;64;1
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2032;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;9;Provincia;Chuquisaca;Oropeza;;Rural;4,655;1,096;545;343;1,322;1,216;133;2,487;1,738;438;52;34;15;149;5;56;0
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS, POR PERSONAL QUE ATENDIÓ EL ÚLTIMO PARTO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001 Y 2033;MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS;10;Municipio;Chuquisaca;Oropeza;Sucre;Sucre;19,261;14,387;1,460;504;991;1,576;343;16,866;15,445;839;59;147;67;204;26;78;1
