cuadro;no;nivel;departamento;provincia;municipio_tioc;area_y_grupo_de_edad;2001_mujeres_con_hijos;2001_partos_atendidos_por_personal_calificado;2024_mujeres_con_hijos;2024_partos_atendidos_por_personal_calificado;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2024;1;País;;;;BOLIVIA;741,250;482,022;708,005;652,899;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2025;2;País;;;;15 - 19;52,610;37,180;32,275;28,580;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2026;3;País;;;;20 - 24;181,293;126,320;133,910;121,305;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2027;4;País;;;;25 - 29;176,617;119,712;176,704;163,495;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2028;5;País;;;;30 - 34;142,626;93,292;165,980;155,943;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2029;6;País;;;;35 - 39;106,572;64,203;122,504;114,535;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2030;7;País;;;;40 - 44;60,034;32,210;61,763;56,367;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2031;8;País;;;;45 - 49;21,498;9,105;14,869;12,674;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2032;9;Departamento;Chuquisaca;;;Chuquisaca;49,290;27,923;35,125;32,568;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2033;10;Departamento;Chuquisaca;;;15 - 19;3,317;2,115;1,930;1,701;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2034;11;Departamento;Chuquisaca;;;20 - 24;11,421;7,200;6,915;6,325;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2035;12;Departamento;Chuquisaca;;;25 - 29;10,914;6,640;8,267;7,773;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2036;13;Departamento;Chuquisaca;;;30 - 34;9,071;5,128;7,798;7,388;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2037;14;Departamento;Chuquisaca;;;35 - 39;7,707;4,007;6,069;5,682;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2038;15;Departamento;Chuquisaca;;;40 - 44;4,803;2,097;3,229;2,926;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2039;16;Departamento;Chuquisaca;;;45 - 49;2,057;736;917;773;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2040;17;Provincia;Chuquisaca;Oropeza;;Oropeza;21,509;16,742;18,191;17,482;
BOLIVIA:  MUJERES DE 15 A 49 AÑOS DE EDAD QUE TUVIERON HIJAS(OS) EN LOS ÚLTIMOS CINCO AÑOS Y SU PARTO FUE ATENDIDO POR PERSONAL DE SALUD CALIFICADO(1),SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y GRUPO DE EDAD, CENSOS 2001 Y 2041;18;Provincia;Chuquisaca;Oropeza;;15 - 19;1,340;1,088;689;644;
