cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_2001_total;numero_de_viviendas_2001_tiene_;numero_de_viviendas_2001_no_tiene;numero_de_viviendas_2012_total;numero_de_viviendas_2012_tiene_;numero_de_viviendas_2012_no_tiene;numero_de_viviendas_2024_total;numero_de_viviendas_2024_tiene;numero_de_viviendas_2024_no_tiene
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;1,977,665;1,273,176;704,489;2,803,982;2,307,319;496,663;3,623,711;3,242,577;381,134
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2025;2;País;;;;Urbana;1,210,962;1,083,652;127,310;1,826,480;1,745,404;81,076;2,386,919;2,331,594;55,325
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2026;3;País;;;;Rural;766,703;189,524;577,179;977,502;561,915;415,587;1,236,792;910,983;325,809
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;118,918;56,065;62,853;150,081;103,796;46,285;184,969;160,229;24,740
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;50,517;46,010;4,507;74,401;72,113;2,288;102,961;101,687;1,274
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;68,401;10,055;58,346;75,680;31,683;43,997;82,008;58,542;23,466
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;56,073;43,372;12,701;77,255;67,367;9,888;100,241;94,248;5,993
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;44,815;41,142;3,673;63,108;61,475;1,633;84,913;84,025;888
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;11,258;2,230;9,028;14,147;5,892;8,255;15,328;10,223;5,105
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;49,756;42,047;7,709;69,949;64,598;5,351;92,531;89,370;3,161
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;44,815;41,142;3,673;63,108;61,475;1,633;84,913;84,025;888
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;4,941;905;4,036;6,841;3,123;3,718;7,618;5,345;2,273
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;2,204;1,168;1,036;2,646;2,024;622;3,056;2,705;351
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;2,204;1,168;1,036;2,646;2,024;622;3,056;2,705;351
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;4,113;157;3,956;4,660;745;3,915;4,654;2,173;2,481
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;4,113;157;3,956;4,660;745;3,915;4,654;2,173;2,481
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;5,611;534;5,077;5,956;1,638;4,318;7,048;4,497;2,551
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;5,611;534;5,077;5,956;1,638;4,318;7,048;4,497;2,551
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;2,329;225;2,104;2,538;499;2,039;2,450;1,355;1,095
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;2,329;225;2,104;2,538;499;2,039;2,450;1,355;1,095
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;3,282;309;2,973;3,418;1,139;2,279;4,598;3,142;1,456
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;3,282;309;2,973;3,418;1,139;2,279;4,598;3,142;1,456
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2051;28;Provincia;Chuquisaca;Zudáñez;;Zudáñez;7,130;1,319;5,811;9,116;4,463;4,653;11,636;8,929;2,707
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2052;29;Provincia;Chuquisaca;Zudáñez;;Urbana;;;;1,385;1,241;144;2,686;2,631;55
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2053;30;Provincia;Chuquisaca;Zudáñez;;Rural;7,130;1,319;5,811;7,731;3,222;4,509;8,950;6,298;2,652
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2054;31;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Zudáñez;1,698;424;1,274;2,586;1,268;1,318;3,187;2,714;473
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2055;32;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Urbana;;;;825;761;64;1,220;1,200;20
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR DISPONIBILIDAD DE ENERGÍA ELÉCTRICA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2056;33;Municipio/TIOC;Chuquisaca;Zudáñez;Zudáñez;Rural;1,698;424;1,274;1,761;507;1,254;1,967;1,514;453
