cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_2001_total;numero_de_viviendas_2001_alcantarillado;numero_de_viviendas_2001_camara_septica;numero_de_viviendas_2001_pozo_ciego;numero_de_viviendas_2001_superficie;numero_de_viviendas_2001_sin_banho;numero_de_viviendas_2012_total;numero_de_viviendas_2012_al_alcantarillado;numero_de_viviendas_2012_a_una_camara_septica;numero_de_viviendas_2012_a_un_pozo_ciego;numero_de_viviendas_2012_a_la_calle;numero_de_viviendas_2012_a_la_quebrada,_rio;numero_de_viviendas_2012_a_un_lago,_laguna,_curichi;numero_de_viviendas_2012_sin_banho;numero_de_viviendas_2024_total;numero_de_viviendas_2024_al_alcantarillado;numero_de_viviendas_2024_a_una_camara_septica;numero_de_viviendas_2024_a_un_pozo_ciego;numero_de_viviendas_2024_a_un_pozo_de_absorcion;numero_de_viviendas_2024_superficie,_calle,_quebrada;numero_de_viviendas_2024_es_un_banho_ecologico;numero_de_viviendas_2024_sin_banho
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;1,977,665;593,405;175,183;452,002;30,886;726,189;2,803,982;1,129,113;226,215;590,709;5,373;6,581;823;845,168;3,623,711;1,734,394;292,945;769,662;37,978;19,070;35,405;734,257
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2025;2;País;;;;Urbana;1,210,962;581,588;147,817;247,782;20,171;213,604;1,826,480;1,092,076;183,916;309,383;4,010;2,357;234;234,504;2,386,919;1,620,343;230,389;360,211;15,661;8,826;8,802;142,687
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2026;3;País;;;;Rural;766,703;11,817;27,366;204,220;10,715;512,585;977,502;37,037;42,299;281,326;1,363;4,224;589;610,664;1,236,792;114,051;62,556;409,451;22,317;10,244;26,603;591,570
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;118,918;40,527;2,584;10,871;2,008;62,928;150,081;67,364;2,686;13,764;447;531;10;65,279;184,969;101,548;3,065;23,188;631;2,601;1,025;52,911
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;50,517;38,563;488;991;1,636;8,839;74,401;62,154;664;1,285;381;349;3;9,565;102,961;89,912;1,027;3,164;170;2,028;150;6,510
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;68,401;1,964;2,096;9,880;372;54,089;75,680;5,210;2,022;12,479;66;182;7;55,714;82,008;11,636;2,038;20,024;461;573;875;46,401
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;56,073;35,443;635;1,712;1,649;16,634;77,255;54,612;922;2,767;383;425;2;18,144;100,241;77,723;1,101;4,951;200;2,112;189;13,965
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;44,815;35,185;358;516;1,586;7,170;63,108;53,726;544;646;363;342;2;7,485;84,913;75,642;735;1,386;122;1,951;122;4,955
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;11,258;258;277;1,196;63;9,464;14,147;886;378;2,121;20;83;0;10,659;15,328;2,081;366;3,565;78;161;67;9,010
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE DESAGÜE DEL BAÑO O SERVICIO SANITARIO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;49,756;35,212;527;1,067;1,605;11,345;69,949;54,036;732;1,733;379;388;2;12,679;92,531;76,534;909;3,480;168;2,021;137;9,282
