cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_2001_total;numero_de_viviendas_2001_lenha;numero_de_viviendas_2001_guano,_bosta,_taquia;numero_de_viviendas_2001_kerosen;numero_de_viviendas_2001_gas;numero_de_viviendas_2001_electricidad;numero_de_viviendas_2001_otro;numero_de_viviendas_2001_no_utiliza;numero_de_viviendas_2012_total;numero_de_viviendas_2012_lenha;numero_de_viviendas_2012_guano,_bosta,_taquia;numero_de_viviendas_2012_energia_solar;numero_de_viviendas_2012_gas_domiciliario_-por_canheria-;numero_de_viviendas_2012_gas_en_garrafa;numero_de_viviendas_2012_electricidad;numero_de_viviendas_2012_otro;numero_de_viviendas_2012_no_cocina;numero_de_viviendas_2024_total;numero_de_viviendas_2024_lenha;numero_de_viviendas_2024_guano,_bosta,_taquia;numero_de_viviendas_2024_energia_solar;numero_de_viviendas_2024_gas_domiciliario_-por_canheria-;numero_de_viviendas_2024_gas_en_garrafa;numero_de_viviendas_2024_electricidad;numero_de_viviendas_2024_otro;numero_de_viviendas_2024_no_cocina
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;1,977,665;673,667;83,608;18,123;1,154,351;17,330;1,634;28,952;2,803,982;664,304;56,472;1,088;312,869;1,698,602;17,739;3,613;49,295;3,623,711;629,156;25,568;584;911,065;1,983,377;13,447;2,808;57,706
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2025;2;País;;;;Urbana;1,210,962;98,056;4,140;15,010;1,050,270;16,632;1,062;25,792;1,826,480;55,724;908;128;309,858;1,401,453;14,989;2,385;41,035;2,386,919;38,249;575;264;889,461;1,402,522;11,911;1,576;42,361
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2026;3;País;;;;Rural;766,703;575,611;79,468;3,113;104,081;698;572;3,160;977,502;608,580;55,564;960;3,011;297,149;2,750;1,228;8,260;1,236,792;590,907;24,993;320;21,604;580,855;1,536;1,232;15,345
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;118,918;66,812;214;198;50,143;149;90;1,312;150,081;61,270;116;71;20,512;65,679;344;104;1,985;184,969;56,017;338;29;46,397;79,350;315;66;2,457
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;50,517;3,951;83;99;45,094;133;48;1,109;74,401;1,841;5;6;20,292;50,536;211;57;1,453;102,961;1,673;20;14;43,277;55,930;242;37;1,768
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;68,401;62,861;131;99;5,049;16;42;203;75,680;59,429;111;65;220;15,143;133;47;532;82,008;54,344;318;15;3,120;23,420;73;29;689
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;56,073;13,092;88;106;41,619;133;52;983;77,255;11,696;18;28;18,371;45,563;229;59;1,291;100,241;10,682;65;20;39,880;47,836;218;38;1,502
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;44,815;2,674;76;92;40,836;127;46;964;63,108;875;3;3;18,336;42,500;186;41;1,164;84,913;863;16;14;39,128;43,311;206;31;1,344
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;11,258;10,418;12;14;783;6;6;19;14,147;10,821;15;25;35;3,063;43;18;127;15,328;9,819;49;6;752;4,525;12;7;158
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;49,756;7,355;78;98;41,076;129;51;969;69,949;6,054;14;4;18,371;44,005;213;54;1,234;92,531;5,763;30;19;39,356;45,703;213;36;1,411
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;44,815;2,674;76;92;40,836;127;46;964;63,108;875;3;3;18,336;42,500;186;41;1,164;84,913;863;16;14;39,128;43,311;206;31;1,344
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;4,941;4,681;2;6;240;2;5;5;6,841;5,179;11;1;35;1,505;27;13;70;7,618;4,900;14;5;228;2,392;7;5;67
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2036;13;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Yotala;2,204;1,736;7;0;448;4;0;9;2,646;1,243;1;18;0;1,335;9;5;35;3,056;850;3;0;520;1,615;3;1;64
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2037;14;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2038;15;Municipio/TIOC;Chuquisaca;Oropeza;Yotala;Rural;2,204;1,736;7;0;448;4;0;9;2,646;1,243;1;18;0;1,335;9;5;35;3,056;850;3;0;520;1,615;3;1;64
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2039;16;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Poroma;4,113;4,001;3;8;95;0;1;5;4,660;4,399;3;6;0;223;7;0;22;4,654;4,069;32;1;4;518;2;1;27
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2040;17;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2041;18;Municipio/TIOC;Chuquisaca;Oropeza;Poroma;Rural;4,113;4,001;3;8;95;0;1;5;4,660;4,399;3;6;0;223;7;0;22;4,654;4,069;32;1;4;518;2;1;27
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2042;19;Provincia;Chuquisaca;Azurduy;;Azurduy;5,611;5,380;4;3;210;1;7;6;5,956;5,056;20;0;0;833;14;0;33;7,048;5,063;32;2;113;1,787;10;1;40
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2043;20;Provincia;Chuquisaca;Azurduy;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2044;21;Provincia;Chuquisaca;Azurduy;;Rural;5,611;5,380;4;3;210;1;7;6;5,956;5,056;20;0;0;833;14;0;33;7,048;5,063;32;2;113;1,787;10;1;40
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2045;22;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Azurduy;2,329;2,210;3;0;111;0;0;5;2,538;2,173;17;0;0;328;3;0;17;2,450;1,898;10;2;10;508;4;1;17
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2046;23;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2047;24;Municipio/TIOC;Chuquisaca;Azurduy;Azurduy;Rural;2,329;2,210;3;0;111;0;0;5;2,538;2,173;17;0;0;328;3;0;17;2,450;1,898;10;2;10;508;4;1;17
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2048;25;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Tarvita;3,282;3,170;1;3;99;1;7;1;3,418;2,883;3;0;0;505;11;0;16;4,598;3,165;22;0;103;1,279;6;0;23
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2049;26;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR COMBUSTIBLE O ENERGÍA UTILIZADA PARA COCINAR, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2050;27;Municipio/TIOC;Chuquisaca;Azurduy;Tarvita;Rural;3,282;3,170;1;3;99;1;7;1;3,418;2,883;3;0;0;505;11;0;16;4,598;3,165;22;0;103;1,279;6;0;23
