cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_2012_total;numero_de_viviendas_2012_basurero_publico_o_contenedor;numero_de_viviendas_2012_carro_basurero;numero_de_viviendas_2012_la_botan_a_terreno_baldio_o_calle;numero_de_viviendas_2012_la_botan_al_rio;numero_de_viviendas_2012_la_queman;numero_de_viviendas_2012_la_entierran;numero_de_viviendas_2012_otra;numero_de_viviendas_2024_total;numero_de_viviendas_2024_basurero_publico_o_contenedor;numero_de_viviendas_2024_carro_basurero;numero_de_viviendas_2024_la_botan_a_terreno_baldio_o_calle;numero_de_viviendas_2024_la_botan_al_rio;numero_de_viviendas_2024_la_queman;numero_de_viviendas_2024_la_entierran;numero_de_viviendas_2024_otra;distribucion_porcentual_2012_basurero_publico_o_contenedor;distribucion_porcentual_2012_carro_basurero;distribucion_porcentual_2012_la_botan_a_terreno_baldio_o_calle;distribucion_porcentual_2012_la_botan_al_rio;distribucion_porcentual_2012_la_queman;distribucion_porcentual_2012_la_entierran;distribucion_porcentual_2012_otra;distribucion_porcentual_2024_basurero_publico_o_contenedor;distribucion_porcentual_2024_carro_basurero;distribucion_porcentual_2024_la_botan_a_terreno_baldio_o_calle;distribucion_porcentual_2024_la_botan_al_rio;distribucion_porcentual_2024_la_queman;distribucion_porcentual_2024_la_entierran;distribucion_porcentual_2024_otra
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2024;1;País;;;;Bolivia;2,803,982;376,688;1,239,713;196,625;195,794;640,357;112,864;41,941;3,623,711;673,955;1,647,912;82,228;61,551;999,714;124,764;33,587;13.4;44.2;7.0;7.0;22.8;4.0;1.5;18.6;45.5;2.3;1.7;27.6;3.4;0.9
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2025;2;País;;;;Urbana;1,826,480;359,528;1,200,148;57,904;39,225;145,449;15,088;9,138;2,386,919;617,677;1,556,938;27,284;8,381;155,522;10,089;11,028;19.7;65.7;3.2;2.1;8.0;0.8;0.5;25.9;65.2;1.1;0.4;6.5;0.4;0.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2026;3;País;;;;Rural;977,502;17,160;39,565;138,721;156,569;494,908;97,776;32,803;1,236,792;56,278;90,974;54,944;53,170;844,192;114,675;22,559;1.8;4.0;14.2;16.0;50.6;10.0;3.4;4.6;7.4;4.4;4.3;68.3;9.3;1.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;150,081;9,927;55,189;32,108;15,170;27,557;6,363;3,767;184,969;41,354;61,551;11,002;5,043;57,451;7,044;1,524;6.6;36.8;21.4;10.1;18.4;4.2;2.5;22.4;33.3;5.9;2.7;31.1;3.8;0.8
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;74,401;9,019;50,760;4,665;4,519;4,839;307;292;102,961;38,581;54,443;1,649;770;6,919;324;275;12.1;68.2;6.3;6.1;6.5;0.4;0.4;37.5;52.9;1.6;0.7;6.7;0.3;0.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;75,680;908;4,429;27,443;10,651;22,718;6,056;3,475;82,008;2,773;7,108;9,353;4,273;50,532;6,720;1,249;1.2;5.9;36.3;14.1;30.0;8.0;4.6;3.4;8.7;11.4;5.2;61.6;8.2;1.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;77,255;7,711;43,094;9,598;6,702;7,810;1,676;664;100,241;36,824;41,771;2,545;1,641;15,269;1,714;477;10.0;55.8;12.4;8.7;10.1;2.2;0.9;36.7;41.7;2.5;1.6;15.2;1.7;0.5
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;63,108;7,564;42,635;4,218;4,074;4,136;235;246;84,913;35,833;40,802;1,491;703;5,653;208;223;12.0;67.6;6.7;6.5;6.6;0.4;0.4;42.2;48.1;1.8;0.8;6.7;0.2;0.3
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;14,147;147;459;5,380;2,628;3,674;1,441;418;15,328;991;969;1,054;938;9,616;1,506;254;1.0;3.2;38.0;18.6;26.0;10.2;3.0;6.5;6.3;6.9;6.1;62.7;9.8;1.7
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR FORMAS DE ELIMINACIÓN DE LA BASURA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;69,949;7,607;42,675;6,563;5,160;6,307;1,161;476;92,531;36,374;41,169;1,879;884;10,716;1,186;323;10.9;61.0;9.4;7.4;9.0;1.7;0.7;39.3;44.5;2.0;1.0;11.6;1.3;0.3
