cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_viviendas_2001_total;numero_de_viviendas_2001_canheria_de_red;numero_de_viviendas_2001_pileta_publica;numero_de_viviendas_2001_carro_repartidor;numero_de_viviendas_2001_pozo_o_noria_con_bomba;numero_de_viviendas_2001_pozo_o_noria_sin_bomba;numero_de_viviendas_2001_rio,_vertiente,_acequia;numero_de_viviendas_2001_lago,_laguna,_curiche;numero_de_viviendas_2001_otra;numero_de_viviendas_2012_total;numero_de_viviendas_2012_canheria_de_red;numero_de_viviendas_2012_pileta_publica;numero_de_viviendas_2012_carro_repartidor_-aguatero-;numero_de_viviendas_2012_pozo_o_noria_con_bomba;numero_de_viviendas_2012_pozo_o_noria_sin_bomba;numero_de_viviendas_2012_lluvia,_rio,_vertiente,_acequia;numero_de_viviendas_2012_lago,_laguna,_curichi;numero_de_viviendas_2024_total;numero_de_viviendas_2024_canheria_de_red;numero_de_viviendas_2024_pileta_publica;numero_de_viviendas_2024_carro_repartidor_-aguatero-;numero_de_viviendas_2024_pozo_excavado_o_perforado_con_bomba;numero_de_viviendas_2024_pozo_no_protegido_o_sin_bomba;numero_de_viviendas_2024_cosecha_de_agua_de_lluvia;numero_de_viviendas_2024_manantial_o_vertiente_protegida;numero_de_viviendas_2024_rio,_acequia_o_vertiente_no_protegida;numero_de_viviendas_2024_otro
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;1,977,665;1,231,450;147,175;40,730;69,292;210,413;223,305;17,089;38,211;2,803,982;1,915,226;240,983;82,859;101,378;193,998;242,962;26,576;3,623,711;2,579,821;280,863;86,258;165,062;132,706;94,887;74,743;151,339;58,032
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2025;2;País;;;;Urbana;1,210,962;1,004,244;64,529;38,100;23,377;41,770;11,310;1,211;26,421;1,826,480;1,521,220;122,285;75,214;41,889;42,520;19,891;3,461;2,386,919;2,027,323;132,819;79,348;66,891;24,190;18,295;9,190;5,002;23,861
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2026;3;País;;;;Rural;766,703;227,206;82,646;2,630;45,915;168,643;211,995;15,878;11,790;977,502;394,006;118,698;7,645;59,489;151,478;223,071;23,115;1,236,792;552,498;148,044;6,910;98,171;108,516;76,592;65,553;146,337;34,171
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;118,918;64,124;6,885;1,417;980;7,933;34,126;1,483;1,970;150,081;101,618;10,866;1,708;1,909;5,208;27,312;1,460;184,969;136,420;12,152;1,781;3,510;3,253;5,103;5,672;14,486;2,592
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;50,517;43,451;3,034;1,300;166;653;653;62;1,198;74,401;66,352;4,985;1,401;557;383;641;82;102,961;92,552;4,903;1,511;1,170;219;1,185;186;218;1,017
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;68,401;20,673;3,851;117;814;7,280;33,473;1,421;772;75,680;35,266;5,881;307;1,352;4,825;26,671;1,378;82,008;43,868;7,249;270;2,340;3,034;3,918;5,486;14,268;1,575
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;56,073;41,202;3,710;1,368;346;2,283;5,639;300;1,225;77,255;60,765;5,768;1,526;1,252;1,541;5,976;427;100,241;82,582;5,119;1,562;2,156;1,152;2,272;1,480;2,566;1,352
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;44,815;38,154;2,787;1,299;166;636;582;59;1,132;63,108;55,811;4,479;1,395;540;352;467;64;84,913;76,382;3,602;1,393;1,110;189;1,088;146;127;876
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;11,258;3,048;923;69;180;1,647;5,057;241;93;14,147;4,954;1,289;131;712;1,189;5,509;363;15,328;6,200;1,517;169;1,046;963;1,184;1,334;2,439;476
BOLIVIA: VIVIENDAS PARTICULARES OCUPADAS CON PERSONAS PRESENTES POR TIPO DE PROCEDENCIA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;49,756;39,304;3,261;1,365;240;1,034;3,203;187;1,162;69,949;58,048;5,065;1,483;853;764;3,410;326;92,531;79,263;4,320;1,486;1,671;533;1,827;919;1,378;1,134
