cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_personas_2001_total;numero_de_personas_2001_tiene;numero_de_personas_2001_no_tiene;numero_de_personas_2012_total;numero_de_personas_2012_tiene;numero_de_personas_2012_no_tiene;numero_de_personas_2024_total;numero_de_personas_2024_tiene;numero_de_personas_2024_no_tiene
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;8,090,732;5,888,061;2,202,671;9,827,089;7,935,752;1,891,337;11,134,130;9,709,957;1,424,173
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2025;2;País;;;;Urbana;5,046,158;4,437,794;608,364;6,632,775;5,979,872;652,903;7,673,112;7,004,709;668,403
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2026;3;País;;;;Rural;3,044,574;1,450,267;1,594,307;3,194,314;1,955,880;1,238,434;3,461,018;2,705,248;755,770
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;517,211;303,306;213,905;565,214;426,384;138,830;592,741;519,752;72,989
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;208,286;190,204;18,082;273,313;261,695;11,618;326,910;313,034;13,876
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;308,925;113,102;195,823;291,901;164,689;127,212;265,831;206,718;59,113
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;231,990;185,601;46,389;279,678;246,017;33,661;312,402;289,497;22,905
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;185,221;167,725;17,496;232,014;221,206;10,808;269,301;256,916;12,385
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;46,769;17,876;28,893;47,664;24,811;22,853;43,101;32,581;10,520
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;205,945;175,147;30,798;254,279;232,218;22,061;289,815;272,647;17,168
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Urbana;185,221;167,725;17,496;232,014;221,206;10,808;269,301;256,916;12,385
BOLIVIA: POBLACIÓN CON ACCESO A FUENTE MEJORADA DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2035;12;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Rural;20,724;7,422;13,302;22,265;11,012;11,253;20,514;15,731;4,783
